"SubjectID","block","width","p"
"GB383",3,0,0.837003
"GB383",3,0,0.930593
"GB383",3,0,0.663507
"GB383",3,0,0.890784
"GB383",3,0,0.972288
"GB383",3,0,0.545763
"GB383",3,0,0.837003
"GB383",3,0,0.663507
"GB383",3,0,0.011794
"GB383",3,0,0.972288
"GB383",3,0,0.545763
"GB383",3,0,0.890784
"GB383",3,0,0.890784
"GB383",3,0,0.837003
"GB383",3,0,0.972288
"GB383",3,0,0.930593
"GB383",3,0,0.545763
"GB383",3,0,0.205164
"GB383",3,0,0.205164
"GB383",3,0,0.890784
"GB383",3,0,0.930593
"GB383",3,0,0.890784
"GB383",3,0,0.930593
"GB383",3,0,0.205164
"GB383",3,0,0.890784
"GB383",3,0,0.425639
"GB383",3,0,0.309391
"GB383",3,0,0.663507
"GB383",3,0,0.132553
"GB383",3,0,0.972288
"GB383",3,0,0.757561
"GB383",3,0,0.545763
"GB383",3,0,0.663507
"GB383",3,0,0.837003
"GB383",3,0,0.663507
"GB383",3,0,0.757561
"GB383",3,0,0.545763
"GB383",3,0,0.890784
"GB383",3,0,0.972288
"GB383",3,0,0.972288
"GB383",3,0,0.890784
"GB383",3,0,0.972288
"GB383",3,0,0.132553
"GB383",3,0,0.663507
"GB383",3,0,0.972288
"GB383",3,0,0.930593
"GB383",3,0,0.837003
"GB383",3,0,0.837003
"GB383",3,0,0.663507
"GB383",3,0,0.425639
"GB383",3,0,0.890784
"GB383",3,0,0.757561
"GB383",3,0,0.757561
"GB383",3,0,0.972288
"GB383",3,0,0.757561
"GB383",3,0,0.930593
"GB383",3,0,0.930593
"GB383",3,0,0.545763
"GB383",3,0,0.930593
"GB383",3,0,0.757561
"GB383",3,0,0.663507
"GB383",3,0,0.309391
"GB383",3,0,0.425639
"GB383",3,0,0.545763
"GB383",3,0,0.837003
"GB383",3,0,0.890784
"GB383",3,0,0.205164
"GB383",3,0,0.837003
"GB383",3,0,0.930593
"GB383",3,0,0.930593
