"SubjectID","block","width","p"
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.599679
"GB441",3,0.35,0.32004
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.004569
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.32004
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.599679
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.32004
"GB441",3,0.35,0.073981
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.32004
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.966643
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.599679
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.001397
"GB441",3,0.35,0.599679
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.970635
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.887676
"GB441",3,0.35,0.972511
"GB441",3,0.35,0.945334
"GB441",3,0.35,0.922512
"GB441",3,0.35,0.599679
"GB441",3,0.35,0.599679
