"SubjectID","block","width","p"
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.393707
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.231865
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.387853
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.078612
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.252912
"HB429",3,0.35,0.393707
"HB429",3,0.35,0.252912
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.252912
"HB429",3,0.35,0.082308
"HB429",3,0.35,0.15941
"HB429",3,0.35,0.393707
"HB429",3,0.35,0.387853
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.15941
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.231865
"HB429",3,0.35,0.387853
"HB429",3,0.35,0.85435
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.807731
"HB429",3,0.35,0.707141
"HB429",3,0.35,0.572788
"HB429",3,0.35,0.558894
"HB429",3,0.35,0.845338
"HB429",3,0.35,0.393707
"HB429",3,0.35,0.731458
"HB429",3,0.35,0.231865
"HB429",3,0.35,0.252912
"HB429",3,0.35,0.85435
