"SubjectID","block","width","p"
"IB217",3,0,0.267941
"IB217",3,0,0.876987
"IB217",3,0,0.544566
"IB217",3,0,0.972479
"IB217",3,0,0.956665
"IB217",3,0,0.787174
"IB217",3,0,0.698132
"IB217",3,0,0.425391
"IB217",3,0,0.956665
"IB217",3,0,0.956665
"IB217",3,0,0.787174
"IB217",3,0,0.972479
"IB217",3,0,0.972479
"IB217",3,0,0.698132
"IB217",3,0,0.956665
"IB217",3,0,0.876987
"IB217",3,0,0.787174
"IB217",3,0,0.919471
"IB217",3,0,0.919471
"IB217",3,0,0.972479
"IB217",3,0,0.089155
"IB217",3,0,0.972479
"IB217",3,0,0.876987
"IB217",3,0,0.919471
"IB217",3,0,0.011267
"IB217",3,0,0.787174
"IB217",3,0,0.544566
"IB217",3,0,0.425391
"IB217",3,0,0.698132
"IB217",3,0,0.956665
"IB217",3,0,0.919471
"IB217",3,0,0.787174
"IB217",3,0,0.544566
"IB217",3,0,0.698132
"IB217",3,0,0.544566
"IB217",3,0,0.05186
"IB217",3,0,0.787174
"IB217",3,0,0.972479
"IB217",3,0,0.956665
"IB217",3,0,0.956665
"IB217",3,0,0.972479
"IB217",3,0,0.956665
"IB217",3,0,0.698132
"IB217",3,0,0.425391
"IB217",3,0,0.956665
"IB217",3,0,0.876987
"IB217",3,0,0.698132
"IB217",3,0,0.698132
"IB217",3,0,0.425391
"IB217",3,0,0.787174
"IB217",3,0,0.972479
"IB217",3,0,0.919471
"IB217",3,0,0.919471
"IB217",3,0,0.956665
"IB217",3,0,0.919471
"IB217",3,0,0.876987
"IB217",3,0,0.089155
"IB217",3,0,0.787174
"IB217",3,0,0.876987
"IB217",3,0,0.919471
"IB217",3,0,0.425391
"IB217",3,0,0.544566
"IB217",3,0,0.787174
"IB217",3,0,0.787174
"IB217",3,0,0.267941
"IB217",3,0,0.972479
"IB217",3,0,0.919471
"IB217",3,0,0.698132
"IB217",3,0,0.876987
"IB217",3,0,0.876987
