"SubjectID","block","width","p"
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.463413
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.042992
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.463413
"IB582",3,0.15,0.13197
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.244241
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.244241
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.84148
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.244241
"IB582",3,0.15,0.463413
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.042992
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.286987
"IB582",3,0.15,0.493973
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.463413
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.968933
"IB582",3,0.15,0.927579
"IB582",3,0.15,0.986603
"IB582",3,0.15,0.692508
"IB582",3,0.15,0.286987
"IB582",3,0.15,0.686649
"IB582",3,0.15,0.968933
