"SubjectID","block","width","p"
"JB716",3,0,0.889258
"JB716",3,0,0.409616
"JB716",3,0,0.988927
"JB716",3,0,0.999991
"JB716",3,0,0.925463
"JB716",3,0,0.998967
"JB716",3,0,0.889258
"JB716",3,0,0.988927
"JB716",3,0,0.027044
"JB716",3,0,0.925463
"JB716",3,0,0.998967
"JB716",3,0,0.999991
"JB716",3,0,0.999991
"JB716",3,0,0.050171
"JB716",3,0,0.925463
"JB716",3,0,0.525128
"JB716",3,0,0.998967
"JB716",3,0,0.999903
"JB716",3,0,0.999903
"JB716",3,0,0.999991
"JB716",3,0,0.525128
"JB716",3,0,0.999991
"JB716",3,0,0.409616
"JB716",3,0,0.999903
"JB716",3,0,0.999991
"JB716",3,0,0.998967
"JB716",3,0,0.988927
"JB716",3,0,0.988927
"JB716",3,0,0.889258
"JB716",3,0,0.925463
"JB716",3,0,0.999903
"JB716",3,0,0.998967
"JB716",3,0,0.988927
"JB716",3,0,0.889258
"JB716",3,0,0.988927
"JB716",3,0,0.999903
"JB716",3,0,0.998967
"JB716",3,0,0.999991
"JB716",3,0,0.925463
"JB716",3,0,0.925463
"JB716",3,0,0.999991
"JB716",3,0,0.925463
"JB716",3,0,0.889258
"JB716",3,0,0.988927
"JB716",3,0,0.925463
"JB716",3,0,0.525128
"JB716",3,0,0.889258
"JB716",3,0,0.889258
"JB716",3,0,0.988927
"JB716",3,0,0.998967
"JB716",3,0,0.999991
"JB716",3,0,0.999903
"JB716",3,0,0.999903
"JB716",3,0,0.925463
"JB716",3,0,0.999903
"JB716",3,0,0.409616
"JB716",3,0,0.525128
"JB716",3,0,0.998967
"JB716",3,0,0.525128
"JB716",3,0,0.999903
"JB716",3,0,0.988927
"JB716",3,0,0.988927
"JB716",3,0,0.998967
"JB716",3,0,0.998967
"JB716",3,0,0.889258
"JB716",3,0,0.999991
"JB716",3,0,0.999903
"JB716",3,0,0.889258
"JB716",3,0,0.525128
"JB716",3,0,0.409616
