"SubjectID","block","width","p"
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.318535
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.318535
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.318535
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.318535
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.923447
"JB763",3,0.4,0.047929
"JB763",3,0.4,0.999778
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.995432
"JB763",3,0.4,0.911162
"JB763",3,0.4,0.608774
"JB763",3,0.4,0.999989
"JB763",3,0.4,0.944976
"JB763",3,0.4,0.001285
"JB763",3,0.4,0.995432
