"SubjectID","block","width","p"
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.000822
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.245306
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.245306
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.062801
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.999772
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.245306
"KB396",3,0.45,0.966633
"KB396",3,0.45,0.994668
"KB396",3,0.45,0.889686
"KB396",3,0.45,0.965756
"KB396",3,0.45,0.683767
"KB396",3,0.45,0.950306
"KB396",3,0.45,0.994668
