"SubjectID","block","width","p"
"KB678",3,0,0.950162
"KB678",3,0,0.624903
"KB678",3,0,0.735621
"KB678",3,0,0.735621
"KB678",3,0,0.950162
"KB678",3,0,0.862271
"KB678",3,0,0.229032
"KB678",3,0,0.077353
"KB678",3,0,0.420208
"KB678",3,0,0.862271
"KB678",3,0,0.735621
"KB678",3,0,0.789394
"KB678",3,0,0.077353
"KB678",3,0,0.789394
"KB678",3,0,0.624903
"KB678",3,0,0.55371
"KB678",3,0,0.735621
"KB678",3,0,0.420208
"KB678",3,0,0.862271
"KB678",3,0,0.950162
"KB678",3,0,0.351412
"KB678",3,0,0.894035
"KB678",3,0,0.55371
"KB678",3,0,0.894035
"KB678",3,0,0.624903
"KB678",3,0,0.027712
"KB678",3,0,0.624903
"KB678",3,0,0.789394
"KB678",3,0,0.789394
"KB678",3,0,0.55371
"KB678",3,0,0.55371
"KB678",3,0,0.950162
"KB678",3,0,0.624903
"KB678",3,0,0.077353
"KB678",3,0,0.950162
"KB678",3,0,0.735621
"KB678",3,0,0.862271
"KB678",3,0,0.735621
"KB678",3,0,0.624903
"KB678",3,0,0.862271
"KB678",3,0,0.950162
"KB678",3,0,0.789394
"KB678",3,0,0.894035
"KB678",3,0,0.862271
"KB678",3,0,0.950162
"KB678",3,0,0.735621
"KB678",3,0,0.950162
"KB678",3,0,0.789394
"KB678",3,0,0.624903
"KB678",3,0,0.789394
"KB678",3,0,0.789394
"KB678",3,0,0.862271
"KB678",3,0,0.55371
"KB678",3,0,0.894035
"KB678",3,0,0.229032
"KB678",3,0,0.624903
"KB678",3,0,0.789394
"KB678",3,0,0.950162
"KB678",3,0,0.862271
"KB678",3,0,0.789394
"KB678",3,0,0.55371
"KB678",3,0,0.624903
"KB678",3,0,0.894035
"KB678",3,0,0.55371
"KB678",3,0,0.894035
"KB678",3,0,0.735621
"KB678",3,0,0.100122
"KB678",3,0,0.420208
"KB678",3,0,0.894035
"KB678",3,0,0.862271
