SubjectID,block,width,p
GB762,1.000000,0.000000,0.039101
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.665442
GB762,1.000000,0.000000,0.002835
GB762,2.000000,0.000000,0.057545
GB762,3.000000,0.000000,0.010616
GB762,1.000000,0.000000,0.010614
GB762,2.000000,0.000000,0.203474
GB762,3.000000,0.000000,0.119088
GB762,1.000000,0.000000,0.369877
GB762,2.000000,0.000000,0.203474
GB762,3.000000,0.000000,0.133904
GB762,1.000000,0.000000,0.002835
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.039105
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.518576
GB762,3.000000,0.000000,0.338867
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.057546
GB762,3.000000,0.000000,0.338867
GB762,1.000000,0.000000,0.338864
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.338867
GB762,1.000000,0.000000,0.039101
GB762,2.000000,0.000000,0.057546
GB762,3.000000,0.000000,0.039105
GB762,1.000000,0.000000,0.665442
GB762,2.000000,0.000000,0.518576
GB762,3.000000,0.000000,0.119088
GB762,1.000000,0.000000,0.002835
GB762,2.000000,0.000000,0.203474
GB762,3.000000,0.000000,0.133904
GB762,1.000000,0.000000,0.338864
GB762,2.000000,0.000000,0.837044
GB762,3.000000,0.000000,0.039105
GB762,1.000000,0.000000,0.010614
GB762,2.000000,0.000000,0.203465
GB762,3.000000,0.000000,0.133904
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.002835
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.837044
GB762,3.000000,0.000000,0.002835
GB762,1.000000,0.000000,0.665442
GB762,2.000000,0.000000,0.203465
GB762,3.000000,0.000000,0.010616
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.057546
GB762,3.000000,0.000000,0.010616
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.369880
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.057546
GB762,3.000000,0.000000,0.039105
GB762,1.000000,0.000000,0.665442
GB762,2.000000,0.000000,0.057545
GB762,3.000000,0.000000,0.338867
GB762,1.000000,0.000000,0.338864
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.665442
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.119088
GB762,1.000000,0.000000,0.119088
GB762,2.000000,0.000000,0.970031
GB762,3.000000,0.000000,0.133904
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.014406
GB762,3.000000,0.000000,0.338867
GB762,1.000000,0.000000,0.665442
GB762,2.000000,0.000000,0.203465
GB762,3.000000,0.000000,0.369880
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.203474
GB762,3.000000,0.000000,0.119088
GB762,1.000000,0.000000,0.369877
GB762,2.000000,0.000000,0.518594
GB762,3.000000,0.000000,0.010616
GB762,1.000000,0.000000,0.706227
GB762,2.000000,0.000000,0.057545
GB762,3.000000,0.000000,0.119088
GB762,1.000000,0.000000,0.133904
GB762,2.000000,0.000000,0.014406
