SubjectID,block,width,p
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.534191
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.593886
HB747,3.000000,0.350000,0.464319
HB747,1.000000,0.350000,0.535560
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.649759
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.735229
HB747,3.000000,0.350000,0.649558
HB747,1.000000,0.350000,0.435221
HB747,2.000000,0.350000,0.526580
HB747,3.000000,0.350000,0.649944
HB747,1.000000,0.350000,0.522729
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.464319
HB747,1.000000,0.350000,0.522729
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.649558
HB747,1.000000,0.350000,0.575318
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.562839
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.534191
HB747,1.000000,0.350000,0.598397
HB747,2.000000,0.350000,0.735229
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.593886
HB747,3.000000,0.350000,0.647418
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.410513
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.610678
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.649944
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.809032
HB747,3.000000,0.350000,0.604049
HB747,1.000000,0.350000,0.424110
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.610678
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.809032
HB747,3.000000,0.350000,0.604049
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.469102
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.464319
HB747,1.000000,0.350000,0.535560
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.647418
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.464319
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.604049
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.610678
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.728027
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.735229
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.534191
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.640017
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.243157
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.759054
HB747,3.000000,0.350000,0.649558
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.526580
HB747,3.000000,0.350000,0.649759
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.526580
HB747,3.000000,0.350000,0.435996
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.735229
HB747,3.000000,0.350000,0.649944
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.604049
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.728027
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.649944
HB747,1.000000,0.350000,0.522729
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.649944
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.780023
HB747,3.000000,0.350000,0.649558
HB747,1.000000,0.350000,0.575318
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.435996
HB747,1.000000,0.350000,0.435221
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.649759
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.858573
HB747,3.000000,0.350000,0.534191
HB747,1.000000,0.350000,0.435221
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.410513
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.410513
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.809032
HB747,3.000000,0.350000,0.610678
HB747,1.000000,0.350000,0.575318
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.464319
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.526580
HB747,3.000000,0.350000,0.410513
HB747,1.000000,0.350000,0.591590
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.649759
HB747,1.000000,0.350000,0.424110
HB747,2.000000,0.350000,0.526580
HB747,3.000000,0.350000,0.435996
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.647418
HB747,1.000000,0.350000,0.562839
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.424110
HB747,2.000000,0.350000,0.728027
HB747,3.000000,0.350000,0.640017
HB747,1.000000,0.350000,0.424110
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.759054
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.435221
HB747,2.000000,0.350000,0.593886
HB747,3.000000,0.350000,0.435996
HB747,1.000000,0.350000,0.575318
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.647418
HB747,1.000000,0.350000,0.519090
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.435996
HB747,1.000000,0.350000,0.535560
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.417755
HB747,1.000000,0.350000,0.452582
HB747,2.000000,0.350000,0.229732
HB747,3.000000,0.350000,0.610678
HB747,1.000000,0.350000,0.598397
HB747,2.000000,0.350000,0.809032
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.554441
HB747,2.000000,0.350000,0.231647
HB747,3.000000,0.350000,0.448161
HB747,1.000000,0.350000,0.535560
HB747,2.000000,0.350000,0.299494
HB747,3.000000,0.350000,0.534191
HB747,1.000000,0.350000,0.478802
HB747,2.000000,0.350000,0.593886
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.575318
HB747,2.000000,0.350000,0.593886
HB747,3.000000,0.350000,0.649558
HB747,1.000000,0.350000,0.419443
HB747,2.000000,0.350000,0.340902
HB747,3.000000,0.350000,0.604049
HB747,1.000000,0.350000,0.598397
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.435221
HB747,2.000000,0.350000,0.780023
HB747,3.000000,0.350000,0.455270
HB747,1.000000,0.350000,0.469102
HB747,2.000000,0.350000,0.395863
HB747,3.000000,0.350000,0.410513
