SubjectID,block,width,p
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.807756
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.894591
IB263,2.000000,0.000000,0.898332
IB263,3.000000,0.000000,0.980990
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.521534
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.898332
IB263,3.000000,0.000000,0.521534
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.841230
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.898332
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.854281
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.562010
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000655
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.091050
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.521534
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.042542
IB263,3.000000,0.000000,0.031592
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.854281
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.031605
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.807756
IB263,2.000000,0.000000,0.008323
IB263,3.000000,0.000000,0.279113
IB263,1.000000,0.000000,0.166385
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.807756
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.112360
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.191191
IB263,3.000000,0.000000,0.544567
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.148287
IB263,3.000000,0.000000,0.234664
IB263,1.000000,0.000000,0.019698
IB263,2.000000,0.000000,0.562010
IB263,3.000000,0.000000,0.980990
IB263,1.000000,0.000000,0.894591
IB263,2.000000,0.000000,0.562010
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.264680
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.980990
IB263,1.000000,0.000000,0.001169
IB263,2.000000,0.000000,0.001598
IB263,3.000000,0.000000,0.016983
IB263,1.000000,0.000000,0.000039
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.856798
IB263,1.000000,0.000000,0.011062
IB263,2.000000,0.000000,0.482016
IB263,3.000000,0.000000,0.112360
