SubjectID,block,width,p
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.457615
IB640,2.000000,0.300000,0.856441
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.803235
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.803235
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.434165
IB640,3.000000,0.300000,0.594535
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.782131
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.749440
IB640,2.000000,0.300000,0.913239
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.404678
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.787336
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.638754
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.638754
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.434165
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.724893
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.457615
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.594535
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.832865
IB640,1.000000,0.300000,0.749440
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.545043
IB640,2.000000,0.300000,0.724893
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.545043
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.724893
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.724893
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.787336
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.843810
IB640,3.000000,0.300000,0.488171
IB640,1.000000,0.300000,0.704935
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.704935
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.913239
IB640,3.000000,0.300000,0.488171
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.909252
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.843810
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.913239
IB640,3.000000,0.300000,0.488171
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.638754
IB640,3.000000,0.300000,0.488171
IB640,1.000000,0.300000,0.250930
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.488171
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.404678
IB640,2.000000,0.300000,0.434165
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.823877
IB640,1.000000,0.300000,0.613547
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.832865
IB640,1.000000,0.300000,0.404678
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.831375
IB640,1.000000,0.300000,0.545043
IB640,2.000000,0.300000,0.297436
IB640,3.000000,0.300000,0.594535
IB640,1.000000,0.300000,0.658436
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.594535
IB640,1.000000,0.300000,0.577181
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.823877
IB640,1.000000,0.300000,0.803235
IB640,2.000000,0.300000,0.638754
IB640,3.000000,0.300000,0.594535
IB640,1.000000,0.300000,0.364498
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.831375
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.124268
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.457615
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.203267
IB640,1.000000,0.300000,0.457615
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.404678
IB640,2.000000,0.300000,0.638754
IB640,3.000000,0.300000,0.909252
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.126068
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.321295
IB640,2.000000,0.300000,0.225970
IB640,3.000000,0.300000,0.020753
IB640,1.000000,0.300000,0.658436
IB640,2.000000,0.300000,0.244111
IB640,3.000000,0.300000,0.199602
IB640,1.000000,0.300000,0.283142
IB640,2.000000,0.300000,0.434165
IB640,3.000000,0.300000,0.199741
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.843810
IB640,3.000000,0.300000,0.239945
IB640,1.000000,0.300000,0.516065
IB640,2.000000,0.300000,0.434165
IB640,3.000000,0.300000,0.162646
IB640,1.000000,0.300000,0.704935
IB640,2.000000,0.300000,0.419403
IB640,3.000000,0.300000,0.162646
