SubjectID,block,width,p
JB710,1.000000,0.300000,0.661079
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.390515
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.542808
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.300022
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.904696
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.690267
JB710,3.000000,0.300000,0.538820
JB710,1.000000,0.300000,0.625120
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.300022
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.848144
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.487118
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.661079
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.542808
JB710,1.000000,0.300000,0.640904
JB710,2.000000,0.300000,0.699521
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.300001
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.487118
JB710,2.000000,0.300000,0.912636
JB710,3.000000,0.300000,0.542808
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.770469
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.865011
JB710,1.000000,0.300000,0.638879
JB710,2.000000,0.300000,0.912636
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.661079
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.487118
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.700458
JB710,2.000000,0.300000,0.565620
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.538820
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.300022
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.700458
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.904616
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.690267
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.904616
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.300001
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.390515
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.696232
JB710,2.000000,0.300000,0.565620
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.699521
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.690267
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.640904
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.542808
JB710,1.000000,0.300000,0.487118
JB710,2.000000,0.300000,0.841374
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.638879
JB710,2.000000,0.300000,0.300001
JB710,3.000000,0.300000,0.538820
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.904616
JB710,1.000000,0.300000,0.640904
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.814481
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.699978
JB710,3.000000,0.300000,0.542808
JB710,1.000000,0.300000,0.390515
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.848144
JB710,1.000000,0.300000,0.625120
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.300477
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.335031
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.538820
JB710,1.000000,0.300000,0.390515
JB710,2.000000,0.300000,0.699521
JB710,3.000000,0.300000,0.125720
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.123450
JB710,1.000000,0.300000,0.640904
JB710,2.000000,0.300000,0.565620
JB710,3.000000,0.300000,0.159701
JB710,1.000000,0.300000,0.299036
JB710,2.000000,0.300000,0.625242
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.770469
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.205183
JB710,3.000000,0.300000,0.229081
JB710,1.000000,0.300000,0.390515
JB710,2.000000,0.300000,0.300022
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.400925
JB710,2.000000,0.300000,0.565620
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.700458
JB710,2.000000,0.300000,0.300001
JB710,3.000000,0.300000,0.207648
JB710,1.000000,0.300000,0.360681
JB710,2.000000,0.300000,0.151003
JB710,3.000000,0.300000,0.123370
JB710,1.000000,0.300000,0.700458
JB710,2.000000,0.300000,0.558880
JB710,3.000000,0.300000,0.538820
JB710,1.000000,0.300000,0.570118
JB710,2.000000,0.300000,0.699521
JB710,3.000000,0.300000,0.848144
JB710,1.000000,0.300000,0.640904
JB710,2.000000,0.300000,0.699999
JB710,3.000000,0.300000,0.125720
