SubjectID,block,width,p
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.872436
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.728701
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.999773
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.976610
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.663321
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000059
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.404043
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.204770
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.000730
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.004163
KB241,3.000000,0.000000,0.005444
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.000075
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.049958
KB241,3.000000,0.000000,0.008179
KB241,1.000000,0.000000,0.005616
KB241,2.000000,0.000000,0.999710
KB241,3.000000,0.000000,0.326962
KB241,1.000000,0.000000,0.000003
KB241,2.000000,0.000000,0.011214
KB241,3.000000,0.000000,0.059287
KB241,1.000000,0.000000,0.098516
KB241,2.000000,0.000000,0.126403
KB241,3.000000,0.000000,0.039972
KB241,1.000000,0.000000,0.000134
KB241,2.000000,0.000000,0.663321
KB241,3.000000,0.000000,0.242838
KB241,1.000000,0.000000,0.002458
KB241,2.000000,0.000000,0.000917
KB241,3.000000,0.000000,0.005444
