SubjectID,block,width,p
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.462819
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.963494
KB678,1.000000,0.050000,0.462819
KB678,2.000000,0.050000,0.603187
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.556415
KB678,2.000000,0.050000,0.567273
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.649253
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.512979
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.462439
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.655584
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.464625
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.734454
KB678,2.000000,0.050000,0.553101
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.464625
KB678,2.000000,0.050000,0.567273
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.734454
KB678,2.000000,0.050000,0.512979
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.464625
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.816622
KB678,2.000000,0.050000,0.708214
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.735674
KB678,2.000000,0.050000,0.462439
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.626545
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.553101
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.462819
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.556415
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.816622
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.734454
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.649253
KB678,2.000000,0.050000,0.655584
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.462819
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.734454
KB678,2.000000,0.050000,0.655584
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.567273
KB678,3.000000,0.050000,0.975539
KB678,1.000000,0.050000,0.645429
KB678,2.000000,0.050000,0.512979
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.603187
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.512979
KB678,3.000000,0.050000,0.831238
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.553101
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.626545
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.567273
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.645429
KB678,2.000000,0.050000,0.626545
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.464625
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.462439
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.831238
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.374302
KB678,3.000000,0.050000,0.245139
KB678,1.000000,0.050000,0.556415
KB678,2.000000,0.050000,0.462439
KB678,3.000000,0.050000,0.875247
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.462439
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.649253
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.645429
KB678,2.000000,0.050000,0.506223
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.553101
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.374841
KB678,2.000000,0.050000,0.335422
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.464625
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.462611
KB678,3.000000,0.050000,0.050205
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.054975
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.567273
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.226367
KB678,2.000000,0.050000,0.655584
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.012033
KB678,1.000000,0.050000,0.554105
KB678,2.000000,0.050000,0.708214
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.556415
KB678,2.000000,0.050000,0.708214
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.645429
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.381788
KB678,2.000000,0.050000,0.603187
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.295412
KB678,2.000000,0.050000,0.416379
KB678,3.000000,0.050000,0.049926
KB678,1.000000,0.050000,0.735674
KB678,2.000000,0.050000,0.421968
KB678,3.000000,0.050000,0.166776
KB678,1.000000,0.050000,0.556415
KB678,2.000000,0.050000,0.603187
KB678,3.000000,0.050000,0.000482
KB678,1.000000,0.050000,0.308878
KB678,2.000000,0.050000,0.626545
KB678,3.000000,0.050000,0.166776
