SubjectID,block,width,p
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.012540
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.101118
LB427,3.000000,0.000000,0.012540
LB427,1.000000,0.000000,0.296003
LB427,2.000000,0.000000,0.654465
LB427,3.000000,0.000000,0.009057
LB427,1.000000,0.000000,0.009184
LB427,2.000000,0.000000,0.240017
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.001704
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.058469
LB427,2.000000,0.000000,0.009545
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.294634
LB427,2.000000,0.000000,0.001704
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.392647
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.294634
LB427,2.000000,0.000000,0.009545
LB427,3.000000,0.000000,0.265484
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.019218
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.654465
LB427,3.000000,0.000000,0.265484
LB427,1.000000,0.000000,0.058469
LB427,2.000000,0.000000,0.019218
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.294634
LB427,2.000000,0.000000,0.392647
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.009184
LB427,2.000000,0.000000,0.807760
LB427,3.000000,0.000000,0.009057
LB427,1.000000,0.000000,0.058469
LB427,2.000000,0.000000,0.001704
LB427,3.000000,0.000000,0.265484
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.392647
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.977787
LB427,3.000000,0.000000,0.009057
LB427,1.000000,0.000000,0.296003
LB427,2.000000,0.000000,0.019218
LB427,3.000000,0.000000,0.335617
LB427,1.000000,0.000000,0.009184
LB427,2.000000,0.000000,0.009545
LB427,3.000000,0.000000,0.012540
LB427,1.000000,0.000000,0.757188
LB427,2.000000,0.000000,0.392647
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.009545
LB427,3.000000,0.000000,0.335617
LB427,1.000000,0.000000,0.296003
LB427,2.000000,0.000000,0.019218
LB427,3.000000,0.000000,0.012540
LB427,1.000000,0.000000,0.058469
LB427,2.000000,0.000000,0.009545
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.009057
LB427,1.000000,0.000000,0.058469
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.009133
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.054427
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.001704
LB427,3.000000,0.000000,0.265484
LB427,1.000000,0.000000,0.058238
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.335617
LB427,1.000000,0.000000,0.009133
LB427,2.000000,0.000000,0.101118
LB427,3.000000,0.000000,0.009057
LB427,1.000000,0.000000,0.009133
LB427,2.000000,0.000000,0.807760
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.009133
LB427,2.000000,0.000000,0.101118
LB427,3.000000,0.000000,0.001516
LB427,1.000000,0.000000,0.001392
LB427,2.000000,0.000000,0.052164
LB427,3.000000,0.000000,0.999270
LB427,1.000000,0.000000,0.009184
LB427,2.000000,0.000000,0.240017
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.756611
LB427,2.000000,0.000000,0.101118
LB427,3.000000,0.000000,0.012540
LB427,1.000000,0.000000,0.296003
LB427,2.000000,0.000000,0.392647
LB427,3.000000,0.000000,0.074064
LB427,1.000000,0.000000,0.296003
LB427,2.000000,0.000000,0.019218
LB427,3.000000,0.000000,0.012540
