SubjectID,block,width,p
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.406187
GB208,2.000000,0.000000,0.215321
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.406187
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.215321
GB208,1.000000,0.000000,0.117873
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.356684
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.034199
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.356684
GB208,1.000000,0.000000,0.406187
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.356684
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.008088
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.406187
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.842615
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.018673
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.356684
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.748396
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.210247
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.210247
GB208,2.000000,0.000000,0.985875
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.601170
GB208,1.000000,0.000000,0.989819
GB208,2.000000,0.000000,0.994555
GB208,1.000000,0.000000,0.041584
GB208,2.000000,0.000000,0.739686
GB208,1.000000,0.000000,0.981862
GB208,2.000000,0.000000,0.933751
GB208,1.000000,0.000000,0.926945
GB208,2.000000,0.000000,0.973767
GB208,1.000000,0.000000,0.958088
GB208,2.000000,0.000000,0.882127
GB208,1.000000,0.000000,0.555934
GB208,2.000000,0.000000,0.739686
