SubjectID,block,width,p
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.437148
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.315103
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.470767
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.437148
GB593,1.000000,0.050000,0.463163
GB593,2.000000,0.050000,0.576626
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.542687
GB593,1.000000,0.050000,0.463163
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.369112
GB593,2.000000,0.050000,0.576626
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.506525
GB593,1.000000,0.050000,0.581168
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.470767
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.542687
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.504645
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.377090
GB593,1.000000,0.050000,0.369112
GB593,2.000000,0.050000,0.506525
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.344727
GB593,1.000000,0.050000,0.315103
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.369748
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.424804
GB593,2.000000,0.050000,0.542687
GB593,1.000000,0.050000,0.369112
GB593,2.000000,0.050000,0.316070
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.542687
GB593,1.000000,0.050000,0.463163
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.437148
GB593,1.000000,0.050000,0.603183
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.344727
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.437148
GB593,1.000000,0.050000,0.463163
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.315103
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.377090
GB593,1.000000,0.050000,0.416305
GB593,2.000000,0.050000,0.542687
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.576626
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.437148
GB593,1.000000,0.050000,0.475645
GB593,2.000000,0.050000,0.377090
GB593,1.000000,0.050000,0.369112
GB593,2.000000,0.050000,0.504645
GB593,1.000000,0.050000,0.640184
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.581168
GB593,2.000000,0.050000,0.316070
GB593,1.000000,0.050000,0.544678
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.416305
GB593,2.000000,0.050000,0.470879
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.344727
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.610383
GB593,1.000000,0.050000,0.475645
GB593,2.000000,0.050000,0.470767
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.505657
GB593,2.000000,0.050000,0.316070
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.581168
GB593,2.000000,0.050000,0.506525
GB593,1.000000,0.050000,0.416305
GB593,2.000000,0.050000,0.470767
GB593,1.000000,0.050000,0.521944
GB593,2.000000,0.050000,0.470767
GB593,1.000000,0.050000,0.564499
GB593,2.000000,0.050000,0.506525
GB593,1.000000,0.050000,0.581168
GB593,2.000000,0.050000,0.664835
GB593,1.000000,0.050000,0.424804
GB593,2.000000,0.050000,0.406731
GB593,1.000000,0.050000,0.424804
GB593,2.000000,0.050000,0.316070
GB593,1.000000,0.050000,0.475645
GB593,2.000000,0.050000,0.637184
GB593,1.000000,0.050000,0.416305
GB593,2.000000,0.050000,0.506525
