SubjectID,block,width,p
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.412235
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.412235
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.191025
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.135004
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.271953
HB639,1.000000,0.000000,0.135004
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.007977
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.053426
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.271953
HB639,1.000000,0.000000,0.227227
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.412235
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.271953
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.991260
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.191025
HB639,1.000000,0.000000,0.412235
HB639,2.000000,0.000000,0.998788
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.999832
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.749326
HB639,1.000000,0.000000,0.976289
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.552348
HB639,2.000000,0.000000,0.674134
HB639,1.000000,0.000000,0.914092
HB639,2.000000,0.000000,0.191025
HB639,1.000000,0.000000,0.986176
HB639,2.000000,0.000000,0.957018
HB639,1.000000,0.000000,0.826942
HB639,2.000000,0.000000,0.938883
HB639,1.000000,0.000000,0.733701
HB639,2.000000,0.000000,0.024090
HB639,1.000000,0.000000,0.948661
HB639,2.000000,0.000000,0.749326
