SubjectID,block,width,p
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.389592
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.389592
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.019603
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.540025
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.540025
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.000527
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.389592
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.139611
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.999471
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.389592
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.139611
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.952957
IB594,1.000000,0.450000,0.154184
IB594,2.000000,0.450000,0.990980
IB594,1.000000,0.450000,0.154184
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.044174
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.119008
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.975801
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.792339
IB594,2.000000,0.450000,0.540025
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.540025
IB594,1.000000,0.450000,0.793109
IB594,2.000000,0.450000,0.995543
IB594,1.000000,0.450000,0.946690
IB594,2.000000,0.450000,0.784135
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.879467
IB594,1.000000,0.450000,0.938851
IB594,2.000000,0.450000,0.389592
IB594,1.000000,0.450000,0.999976
IB594,2.000000,0.450000,0.119008
IB594,1.000000,0.450000,0.988713
IB594,2.000000,0.450000,0.540025
