SubjectID,block,width,p
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.172106
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.342507
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.076092
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.011543
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.076092
JB561,2.000000,0.500000,0.035415
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.034387
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.342507
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.167596
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.933558
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.913611
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.783955
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.745267
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.895517
JB561,2.000000,0.500000,0.931432
JB561,1.000000,0.500000,0.563856
JB561,2.000000,0.500000,0.167596
JB561,1.000000,0.500000,0.999894
JB561,2.000000,0.500000,0.961776
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.923296
JB561,1.000000,0.500000,0.000723
JB561,2.000000,0.500000,0.931056
JB561,1.000000,0.500000,0.912775
JB561,2.000000,0.500000,0.950431
JB561,1.000000,0.500000,0.997291
JB561,2.000000,0.500000,0.172106
JB561,1.000000,0.500000,0.342507
JB561,2.000000,0.500000,0.923296
