SubjectID,block,width,p
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.291279
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.521778
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.144424
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.080388
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.144424
JB561,2.000000,0.000000,0.020620
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.002660
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.521778
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.348313
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.856368
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.992023
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.616696
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.671330
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.809268
JB561,2.000000,0.000000,0.988013
JB561,1.000000,0.000000,0.434372
JB561,2.000000,0.000000,0.348313
JB561,1.000000,0.000000,0.994295
JB561,2.000000,0.000000,0.965780
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.856612
JB561,1.000000,0.000000,0.000715
JB561,2.000000,0.000000,0.956923
JB561,1.000000,0.000000,0.958419
JB561,2.000000,0.000000,0.883430
JB561,1.000000,0.000000,0.970044
JB561,2.000000,0.000000,0.291279
JB561,1.000000,0.000000,0.521778
JB561,2.000000,0.000000,0.856612
