SubjectID,block,width,p
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.024089
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.461236
KB241,2.000000,0.000000,0.308523
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.308523
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.010247
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.461236
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.461236
KB241,2.000000,0.000000,0.999990
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.950287
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.995785
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.461236
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.950306
KB241,2.000000,0.000000,0.916670
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.973354
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.999869
KB241,2.000000,0.000000,0.999796
KB241,1.000000,0.000000,0.997416
KB241,2.000000,0.000000,0.998701
KB241,1.000000,0.000000,0.997415
KB241,2.000000,0.000000,0.615761
KB241,1.000000,0.000000,0.461279
KB241,2.000000,0.000000,0.995785
