SubjectID,block,width,p
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.133382
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.222277
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.133382
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.222277
KB651,1.000000,0.450000,0.133382
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.450273
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.146950
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.823074
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.046645
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.504918
KB651,2.000000,0.450000,0.083493
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.786975
KB651,2.000000,0.450000,0.993121
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.905591
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.133382
KB651,2.000000,0.450000,0.858838
KB651,1.000000,0.450000,0.954356
KB651,2.000000,0.450000,0.999987
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.046645
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.914478
KB651,1.000000,0.450000,0.450273
KB651,2.000000,0.450000,0.711854
KB651,1.000000,0.450000,0.989562
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.997661
KB651,2.000000,0.450000,0.999700
KB651,1.000000,0.450000,0.999472
KB651,2.000000,0.450000,0.993121
