SubjectID,block,width,p
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.002240
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.234931
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.192188
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.192188
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.234931
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.234931
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999346
LB250,1.000000,0.000000,0.994962
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.833614
LB250,1.000000,0.000000,0.059379
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.999774
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.735479
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.894610
LB250,2.000000,0.000000,0.998834
LB250,1.000000,0.000000,0.999183
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.988946
LB250,1.000000,0.000000,0.999963
LB250,2.000000,0.000000,0.999931
LB250,1.000000,0.000000,0.691505
LB250,2.000000,0.000000,0.980329
LB250,1.000000,0.000000,0.981916
LB250,2.000000,0.000000,0.833614
