SubjectID,block,width,p
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.202032
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.013758
LB427,2.000000,0.500000,0.306862
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.094668
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.119566
LB427,1.000000,0.500000,0.308257
LB427,2.000000,0.500000,0.094009
LB427,1.000000,0.500000,0.202032
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.123229
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.115938
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.056807
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.119134
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.184858
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.089985
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.308257
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.123229
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.306862
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.306862
LB427,1.000000,0.500000,0.056807
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.852359
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.308257
LB427,2.000000,0.500000,0.852228
LB427,1.000000,0.500000,0.896168
LB427,2.000000,0.500000,0.094009
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.724634
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.611976
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.783792
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.852578
LB427,1.000000,0.500000,0.308257
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.202032
LB427,2.000000,0.500000,0.849353
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.898629
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.907007
LB427,2.000000,0.500000,0.622806
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.875109
LB427,2.000000,0.500000,0.841382
LB427,1.000000,0.500000,0.864050
LB427,2.000000,0.500000,0.119134
