SubjectID,block,width,p
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.797724
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.894557
KB622,3.000000,0.400000,0.569377
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.905750
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.879257
KB622,1.000000,0.400000,0.779857
KB622,2.000000,0.400000,0.894557
KB622,3.000000,0.400000,0.879035
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.906643
KB622,3.000000,0.400000,0.879035
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.871502
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.740676
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.740676
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.740676
KB622,1.000000,0.400000,0.819412
KB622,2.000000,0.400000,0.847118
KB622,3.000000,0.400000,0.871502
KB622,1.000000,0.400000,0.819412
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.569377
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.778651
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.709275
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237404
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.663005
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.797724
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.819412
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.663005
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.663005
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.709275
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.779471
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.875268
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.740676
KB622,1.000000,0.400000,0.778651
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.875268
KB622,1.000000,0.400000,0.779471
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.303949
KB622,1.000000,0.400000,0.663005
KB622,2.000000,0.400000,0.344082
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.303949
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.847118
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.569377
KB622,1.000000,0.400000,0.779471
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.152147
KB622,1.000000,0.400000,0.779857
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.819412
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.435939
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.569377
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.504148
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.847118
KB622,3.000000,0.400000,0.303949
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.134700
KB622,3.000000,0.400000,0.303949
KB622,1.000000,0.400000,0.779471
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.303949
KB622,1.000000,0.400000,0.237649
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.210480
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.318806
KB622,2.000000,0.400000,0.202835
KB622,3.000000,0.400000,0.149565
KB622,1.000000,0.400000,0.237498
KB622,2.000000,0.400000,0.128555
KB622,3.000000,0.400000,0.825605
KB622,1.000000,0.400000,0.237500
KB622,2.000000,0.400000,0.709275
KB622,3.000000,0.400000,0.149813
KB622,1.000000,0.400000,0.778651
KB622,2.000000,0.400000,0.833879
KB622,3.000000,0.400000,0.293021
KB622,1.000000,0.400000,0.237497
KB622,2.000000,0.400000,0.128871
KB622,3.000000,0.400000,0.202989
KB622,1.000000,0.400000,0.766380
KB622,2.000000,0.400000,0.253912
KB622,3.000000,0.400000,0.303949
