SubjectID,block,width,p
LB427,1.000000,0.400000,0.018305
LB427,2.000000,0.400000,0.051900
LB427,3.000000,0.400000,0.000317
LB427,1.000000,0.400000,0.000047
LB427,2.000000,0.400000,0.102422
LB427,3.000000,0.400000,0.000317
LB427,1.000000,0.400000,0.172641
LB427,2.000000,0.400000,0.651825
LB427,3.000000,0.400000,0.052642
LB427,1.000000,0.400000,0.058010
LB427,2.000000,0.400000,0.239462
LB427,3.000000,0.400000,0.052547
LB427,1.000000,0.400000,0.018305
LB427,2.000000,0.400000,0.001710
LB427,3.000000,0.400000,0.052547
LB427,1.000000,0.400000,0.063824
LB427,2.000000,0.400000,0.009665
LB427,3.000000,0.400000,0.010673
LB427,1.000000,0.400000,0.000047
LB427,2.000000,0.400000,0.051900
LB427,3.000000,0.400000,0.010673
LB427,1.000000,0.400000,0.281328
LB427,2.000000,0.400000,0.001710
LB427,3.000000,0.400000,0.054614
LB427,1.000000,0.400000,0.018305
LB427,2.000000,0.400000,0.389918
LB427,3.000000,0.400000,0.010673
LB427,1.000000,0.400000,0.281328
LB427,2.000000,0.400000,0.009665
LB427,3.000000,0.400000,0.122032
LB427,1.000000,0.400000,0.000047
LB427,2.000000,0.400000,0.019167
LB427,3.000000,0.400000,0.052547
LB427,1.000000,0.400000,0.000047
LB427,2.000000,0.400000,0.651825
LB427,3.000000,0.400000,0.122032
LB427,1.000000,0.400000,0.063824
LB427,2.000000,0.400000,0.019167
LB427,3.000000,0.400000,0.054614
LB427,1.000000,0.400000,0.281328
LB427,2.000000,0.400000,0.389918
LB427,3.000000,0.400000,0.054614
LB427,1.000000,0.400000,0.058010
LB427,2.000000,0.400000,0.806274
LB427,3.000000,0.400000,0.052642
LB427,1.000000,0.400000,0.063824
LB427,2.000000,0.400000,0.001710
LB427,3.000000,0.400000,0.122032
LB427,1.000000,0.400000,0.000047
LB427,2.000000,0.400000,0.389918
LB427,3.000000,0.400000,0.052547
LB427,1.000000,0.400000,0.018305
