"","step","sound2","response","RT"
"1",1,"Ba",0,0.96611903
"2",1,"Da",0.4,0.42437869
"3",1,"Single",0,0.71037757
"4",2,"Ba",0,1.10227809
"5",2,"Da",0.4,0.406279003
"6",2,"Single",0.4,0.86937468
"7",3,"Ba",0.1,0.76818539
"8",3,"Da",0.5,0.53594034
"9",3,"Single",0.3,0.62267212
"10",4,"Ba",0.7,1.367004
"11",4,"Da",1,0.65231640502
"12",4,"Single",0.8,0.79125427
"13",5,"Ba",0.7,0.86923237
"14",5,"Da",1,0.55215323
"15",5,"Single",0.8,0.63004212
"16",6,"Ba",0.9,0.95803037
"17",6,"Da",0.8,0.37356651
"18",6,"Single",1,0.68222309
"19",7,"Ba",1,2.06430131
"20",7,"Da",0.8,0.38014848
"21",7,"Single",0.9,0.41654056
