"","step","sound2","response","RT"
"1",1,"Ba",0.7,1.15824161
"2",1,"Da",0.3,0.551571907
"3",1,"Single",0.4,0.38272990737
"4",2,"Ba",0.4,0.7291507
"5",2,"Da",0.4,0.73800557
"6",2,"Single",0.6,0.425908608
"7",3,"Ba",0.3,1.10880501
"8",3,"Da",0.3,0.69287874
"9",3,"Single",0.9,0.82788352
"10",4,"Ba",0.2,0.84455632
"11",4,"Da",0.444444444444444,0.94986371
"12",4,"Single",0.7,0.44861859385
"13",5,"Ba",0.8,0.62974486
"14",5,"Da",0.8,0.64986708
"15",5,"Single",0.5,0.39870205
"16",6,"Ba",0.8,0.8916206
"17",6,"Da",0.6,0.73650193
"18",6,"Single",0.6,0.55403108
"19",7,"Ba",1,1.1217469
"20",7,"Da",0.666666666666667,0.50871849
"21",7,"Single",0.4,0.4363931
