"","step","sound2","response","RT"
"1",1,"Da",0,0.79125909
"2",1,"Ba",0,0.71739154
"3",1,"Single",0.3,0.32024088378
"4",2,"Da",0.1,0.75300832
"5",2,"Ba",0,0.59687086
"6",2,"Single",0.4,0.5086059665
"7",3,"Da",0.5,0.68680243
"8",3,"Ba",0.9,0.64272722
"9",3,"Single",0.8,0.323881554
"10",4,"Da",1,0.50924858
"11",4,"Ba",1,0.84330194
"12",4,"Single",0.9,0.753438611
"13",5,"Da",1,0.68767479
"14",5,"Ba",0.8,0.98370957
"15",5,"Single",0.8,0.59875939
"16",6,"Da",1,0.7155758
"17",6,"Ba",0.9,0.69879251
"18",6,"Single",1,0.28671392058
"19",7,"Da",1,0.50827861
"20",7,"Ba",0.9,0.83993787
"21",7,"Single",1,0.6535178
