"","step","sound2","response","RT"
"1",1,"Ba",0.8,1.18629271
"2",1,"Da",0.5,0.416541812
"3",1,"Single",0.2,0.37995762677
"4",2,"Ba",0.6,1.4736342
"5",2,"Da",0.6,0.38541175227
"6",2,"Single",0.1,0.58888969989
"7",3,"Ba",0.6,0.88353843
"8",3,"Da",0.4,0.27232831828
"9",3,"Single",0.3,0.38360759712
"10",4,"Ba",0.2,1.00610885
"11",4,"Da",0.4,0.470470003
"12",4,"Single",0.9,0.32387210897
"13",5,"Ba",0.2,1.18136988
"14",5,"Da",0.7,0.44105813
"15",5,"Single",0.9,0.30988543
"16",6,"Ba",0.5,1.31686468
"17",6,"Da",0.5,0.76048687
"18",6,"Single",0.7,0.39326028997
"19",7,"Ba",0.7,1.27223397
"20",7,"Da",0.6,0.24646770121
"21",7,"Single",0.7,0.25411280226
