"","step","sound2","response","RT"
"1",1,"Ba",0,0.54320659
"2",1,"Da",0,0.38467158
"3",1,"Single",0,0.33034476
"4",2,"Ba",0,0.54305445
"5",2,"Da",0,0.58678829
"6",2,"Single",0,0.34431761
"7",3,"Ba",0,0.49755999
"8",3,"Da",0,0.43852995
"9",3,"Single",0,0.41106798
"10",4,"Ba",0,0.60625418
"11",4,"Da",0.1,0.5331219
"12",4,"Single",0.1,0.28791076
"13",5,"Ba",0.4,0.79006318
"14",5,"Da",0.8,0.4578271
"15",5,"Single",0.7,0.36234842
"16",6,"Ba",0.2,0.50667036
"17",6,"Da",0.8,0.51971998
"18",6,"Single",0.9,0.464890685
"19",7,"Ba",0.9,0.56870483
"20",7,"Da",1,0.43279573
"21",7,"Single",1,0.30318608
