"","step","sound2","response","RT"
"1",1,"Da",0,0.51186287
"2",1,"Ba",0,0.68859683
"3",1,"Single",0,0.13303914785
"4",2,"Da",0,0.5218861
"5",2,"Ba",0,0.73165207
"6",2,"Single",0.1,0.14282147573
"7",3,"Da",0,0.5205517
"8",3,"Ba",0,0.55582383
"9",3,"Single",0,0.27804542
"10",4,"Da",0.3,0.71733471
"11",4,"Ba",0.2,0.73561561
"12",4,"Single",0.5,0.336902824
"13",5,"Da",0.9,0.64262412
"14",5,"Ba",1,0.52656623
"15",5,"Single",0.8,0.298506995
"16",6,"Da",1,0.63409792
"17",6,"Ba",0.9,0.63260137
"18",6,"Single",1,0.2701025
"19",7,"Da",1,0.59029735
"20",7,"Ba",1,0.62565145
"21",7,"Single",0.9,0.1097244
