"","step","sound2","response","RT"
"1",1,"Sha",0.3,0.87465771
"2",1,"Sa",0.5,1.76418903
"3",1,"Single",0.6,0.61148218245
"4",2,"Sha",0.6,1.20037727
"5",2,"Sa",0.6,1.148766203
"6",2,"Single",0.7,1.44470867057
"7",3,"Sha",0.3,0.95229731
"8",3,"Sa",0.3,1.46226129
"9",3,"Single",0.5,0.57314091537
"10",4,"Sha",0.6,0.85408793002
"11",4,"Sa",0.5,1.91314769
"12",4,"Single",0.4,0.86164608274
"13",5,"Sha",0.3,0.60547699
"14",5,"Sa",0.6,1.7588914
"15",5,"Single",0.7,1.28416482994
"16",6,"Sha",0.2,1.26617928
"17",6,"Sa",0.7,1.68195688
"18",6,"Single",0.2,0.59689147778
"19",7,"Sha",0.5,0.77810952
"20",7,"Sa",0.5,2.52485768
"21",7,"Single",0.5,1.15828556926
