"","step","sound2","response","RT"
"1",1,"Sa",0.7,0.679417996
"2",1,"Sha",0.4,0.71356236
"3",1,"Single",0.7,0.88905391509
"4",2,"Sa",0.6,0.63047373243
"5",2,"Sha",0.5,1.19046197
"6",2,"Single",0.3,0.64392653051
"7",3,"Sa",0.6,0.65627621
"8",3,"Sha",0.6,0.49464208933
"9",3,"Single",0.7,0.82189398131
"10",4,"Sa",0.4,0.569052542
"11",4,"Sha",0.3,0.51144637
"12",4,"Single",0.4,1.108755871
"13",5,"Sa",0.3,0.7511443
"14",5,"Sha",0.5,0.97217035
"15",5,"Single",0.3,0.83997268
"16",6,"Sa",0.6,0.94050583482
"17",6,"Sha",0.7,0.81913848
"18",6,"Single",0.5,1.31379501
"19",7,"Sa",0.3,0.51682617
"20",7,"Sha",0.5,0.64493288
"21",7,"Single",0.5,0.43548789374
