"","step","sound2","response","RT"
"1",1,"Sa",0.1,1.58614782
"2",1,"Sha",0.4,2.0998631
"3",1,"Single",0.5,0.83144212
"4",2,"Sa",0.3,2.32537928
"5",2,"Sha",0.3,0.80597914
"6",2,"Single",0.7,0.346939717
"7",3,"Sa",0.7,0.5376889
"8",3,"Sha",0.9,0.87012988
"9",3,"Single",0.5,0.38129458
"10",4,"Sa",1,0.54237984
"11",4,"Sha",0.7,0.5581088
"12",4,"Single",0.9,0.28847171149
"13",5,"Sa",1,1.12840504
"14",5,"Sha",0.9,0.42762472
"15",5,"Single",0.9,0.24248730944
"16",6,"Sa",1,1.5226971
"17",6,"Sha",0.9,0.4573678
"18",6,"Single",0.9,0.42458749
"19",7,"Sa",1,1.35922888
"20",7,"Sha",0.8,1.12998698
"21",7,"Single",0.5,0.7223692
