"","step","sound2","response","RT"
"1",1,"Sa",0.3,0.59207552
"2",1,"Sha",0.3,1.3583633
"3",1,"Single",0.2,1.86035538
"4",2,"Sa",0.3,1.284197017
"5",2,"Sha",0.1,1.02035579
"6",2,"Single",0.2,1.25131569
"7",3,"Sa",0.4,1.13083913
"8",3,"Sha",0.3,0.92529757
"9",3,"Single",0.7,0.8330698
"10",4,"Sa",0.7,1.02871195
"11",4,"Sha",0.4,0.71346349
"12",4,"Single",0.3,1.32406119
"13",5,"Sa",0.9,0.99525113
"14",5,"Sha",0.5,0.80387349
"15",5,"Single",0.6,0.99411526
"16",6,"Sa",0.5,1.14827274
"17",6,"Sha",0.8,1.15582013
"18",6,"Single",0.6,1.13472592
"19",7,"Sa",0.8,1.23379321
"20",7,"Sha",0.8,0.97683711
"21",7,"Single",0.6,1.62835612
