"","step","sound2","response","RT"
"1",1,"Sa",0,0.90849819
"2",1,"Sha",0,2.21834663
"3",1,"Single",0,0.36968237
"4",2,"Sa",0,0.64229165
"5",2,"Sha",0.1,1.30944535
"6",2,"Single",0,0.53539211
"7",3,"Sa",0.1,1.18704291
"8",3,"Sha",0,1.60989684
"9",3,"Single",0,0.66237328
"10",4,"Sa",0.8,0.7058911
"11",4,"Sha",0.8,0.92373391
"12",4,"Single",1,0.73082543
"13",5,"Sa",1,0.7540592
"14",5,"Sha",1,1.43134972
"15",5,"Single",1,0.32587599
"16",6,"Sa",1,0.53668198
"17",6,"Sha",0.8,0.96307335
"18",6,"Single",1,0.33506456
"19",7,"Sa",0.8,0.69698008
"20",7,"Sha",1,2.01732259
"21",7,"Single",1,0.41090148
