"","step","sound2","response","RT"
"1",1,"Sa",0,0.63195025
"2",1,"Sha",0,0.75231323
"3",1,"Single",0.1,0.16256913
"4",2,"Sa",0,0.65050611
"5",2,"Sha",0,0.80052165
"6",2,"Single",0,0.1727759
"7",3,"Sa",0,0.68705823
"8",3,"Sha",0,0.90126458
"9",3,"Single",0.2,0.22391901993
"10",4,"Sa",0.5,0.68531452
"11",4,"Sha",0.7,1.0156182
"12",4,"Single",0.8,0.24492720109
"13",5,"Sa",1,0.60446222
"14",5,"Sha",0.9,0.71655454
"15",5,"Single",0.9,0.272508251
"16",6,"Sa",1,0.62496468
"17",6,"Sha",1,0.83814702
"18",6,"Single",1,0.152511169
"19",7,"Sa",1,0.63260356
"20",7,"Sha",1,0.781471707
"21",7,"Single",1,0.20512633
