2017-8-22,15:21:19
trial,sound1,sound2,sound3,sound4,selection,RT
1,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,3,3.725091e+00
2,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,2,9.531150e-01
3,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_7.wav,3,2.427257e+00
4,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_1.wav,3,2.234810e+00
5,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,3,3.312689e+00
6,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,2,1.621737e+00
7,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,2,1.958407e+00
8,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,3,3.454594e+00
9,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,2,3.660778e+00
10,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,3,1.122146e+00
11,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,2,1.334041e+00
12,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,2,4.375761e-01
13,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,3,2.978931e+00
14,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_1.wav,3,1.165765e+01
15,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,2,1.155950e+01
16,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,2,2.424250e-01
