2017-8-21,15:45:5
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_5.wav,NA,NA,Sa,1.191650e+00
2,Sa_Sha_Step_4.wav,NA,NA,Sa,7.010639e-01
3,Sa_Sha_Step_6.wav,NA,NA,Sa,2.939620e-01
4,Sa_Sha_Step_7.wav,NA,NA,Sa,5.445111e-01
5,Sa_Sha_Step_1.wav,NA,NA,Sha,3.714430e-01
6,Sa_Sha_Step_4.wav,NA,NA,Sa,3.728211e-01
7,Sa_Sha_Step_3.wav,NA,NA,Sha,3.261831e-01
8,Sa_Sha_Step_2.wav,NA,NA,Sa,2.059610e-01
9,Sa_Sha_Step_3.wav,NA,NA,Sha,7.219431e-01
10,Sa_Sha_Step_1.wav,NA,NA,Sha,1.223161e+00
11,Sa_Sha_Step_7.wav,NA,NA,Sa,2.651169e-01
12,Sa_Sha_Step_2.wav,NA,NA,Sha,9.930301e-02
13,Sa_Sha_Step_5.wav,NA,NA,Sa,5.509305e-02
14,Sa_Sha_Step_2.wav,NA,NA,Sha,6.091595e-04
15,Sa_Sha_Step_7.wav,NA,NA,Sa,9.511995e-02
16,Sa_Sha_Step_2.wav,NA,NA,Sha,2.271700e-02
17,Sa_Sha_Step_3.wav,NA,NA,Sha,7.162819e-01
18,Sa_Sha_Step_3.wav,NA,NA,Sa,1.852889e-01
19,Sa_Sha_Step_5.wav,NA,NA,Sa,1.180621e+00
20,Sa_Sha_Step_6.wav,NA,NA,Sha,5.130160e-01
21,Sa_Sha_Step_2.wav,NA,NA,Sa,8.394010e-01
22,Sa_Sha_Step_4.wav,NA,NA,Sa,2.052392e+00
23,Sa_Sha_Step_5.wav,NA,NA,Sa,6.423500e-01
24,Sa_Sha_Step_3.wav,NA,NA,Sa,8.209882e-01
25,Sa_Sha_Step_6.wav,NA,NA,Sa,6.016600e-01
26,Sa_Sha_Step_5.wav,NA,NA,Sa,5.069981e-01
27,Sa_Sha_Step_4.wav,NA,NA,Sa,5.128269e-01
28,Sa_Sha_Step_4.wav,NA,NA,Sa,4.592910e-01
29,Sa_Sha_Step_6.wav,NA,NA,Sa,3.837130e-01
30,Sa_Sha_Step_1.wav,NA,NA,Sa,1.093307e+00
31,Sa_Sha_Step_3.wav,NA,NA,Sa,6.068289e-01
32,Sa_Sha_Step_2.wav,NA,NA,Sa,4.284520e-01
33,Sa_Sha_Step_7.wav,NA,NA,Sa,7.079561e-01
34,Sa_Sha_Step_1.wav,NA,NA,Sha,3.927028e-01
35,Sa_Sha_Step_6.wav,NA,NA,Sa,3.468080e-01
36,Sa_Sha_Step_5.wav,NA,NA,Sa,3.555870e-01
37,Sa_Sha_Step_1.wav,NA,NA,Sha,1.603758e-01
38,Sa_Sha_Step_7.wav,NA,NA,Sa,4.507399e-01
39,Sa_Sha_Step_6.wav,NA,NA,Sa,9.227459e-01
40,Sa_Sha_Step_5.wav,NA,NA,Sha,5.508530e-01
41,Sa_Sha_Step_1.wav,NA,NA,Sa,1.870384e+00
42,Sa_Sha_Step_1.wav,NA,NA,Sa,3.010529e+00
43,Sa_Sha_Step_5.wav,NA,NA,Sa,1.172689e+00
44,Sa_Sha_Step_7.wav,NA,NA,Sa,7.775118e-01
45,Sa_Sha_Step_4.wav,NA,NA,Sa,1.072551e+00
46,Sa_Sha_Step_5.wav,NA,NA,Sa,8.383808e-01
47,Sa_Sha_Step_2.wav,NA,NA,Sha,9.349689e-01
48,Sa_Sha_Step_4.wav,NA,NA,Sa,8.151431e-01
49,Sa_Sha_Step_3.wav,NA,NA,Sa,5.478282e-01
50,Sa_Sha_Step_7.wav,NA,NA,Sha,7.312858e-01
51,Sa_Sha_Step_4.wav,NA,NA,Sa,8.251748e-01
52,Sa_Sha_Step_1.wav,NA,NA,Sha,6.538200e-01
53,Sa_Sha_Step_7.wav,NA,NA,Sa,2.609160e-01
54,Sa_Sha_Step_2.wav,NA,NA,Sha,2.307210e-01
55,Sa_Sha_Step_6.wav,NA,NA,Sa,2.275062e-01
56,Sa_Sha_Step_7.wav,NA,NA,Sa,3.921299e-01
57,Sa_Sha_Step_6.wav,NA,NA,Sa,6.262190e-01
58,Sa_Sha_Step_3.wav,NA,NA,Sha,2.359419e-01
59,Sa_Sha_Step_3.wav,NA,NA,Sha,5.255151e-01
60,Sa_Sha_Step_7.wav,NA,NA,Sa,2.441802e-01
61,Sa_Sha_Step_6.wav,NA,NA,Sa,4.849529e-01
62,Sa_Sha_Step_1.wav,NA,NA,Sha,5.622709e-01
63,Sa_Sha_Step_4.wav,NA,NA,Sa,8.382399e-01
64,Sa_Sha_Step_2.wav,NA,NA,Sa,1.667287e+00
65,Sa_Sha_Step_1.wav,NA,NA,Sa,1.168521e+00
66,Sa_Sha_Step_3.wav,NA,NA,Sa,1.128747e+00
67,Sa_Sha_Step_2.wav,NA,NA,Sa,1.476215e+00
68,Sa_Sha_Step_5.wav,NA,NA,Sa,1.403208e+00
69,Sa_Sha_Step_4.wav,NA,NA,Sa,6.470170e-01
70,Sa_Sha_Step_6.wav,NA,NA,Sa,7.057562e-01
