2017-8-24,9:23:16
trial,sound1,sound2,sound3,sound4,selection,RT
1,Ba_Da_Step_1.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,3,7.009518e-01
2,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,2,3.385859e-01
3,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,3,4.672251e-01
4,Ba_Da_Step_2.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,2,5.729451e-01
5,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,3,5.674040e-01
6,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,Ba_Da_Step_2.wav,3,6.883330e-01
7,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_7.wav,2,6.540630e-01
8,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_7.wav,2,5.142260e-01
9,Ba_Da_Step_2.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,2,5.422008e-01
10,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,2,3.871348e-01
11,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,2,6.105080e-01
12,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,2,1.125219e+00
13,Ba_Da_Step_7.wav,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,2,6.141663e-04
14,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,2,6.876140e-01
15,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,2,6.165547e+00
16,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,2,6.230710e-01
17,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,2,4.302449e-01
18,Ba_Da_Step_2.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,2,4.869740e-01
19,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,2,4.538772e-01
20,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_1.wav,2,1.163232e+00
21,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,2,6.605830e-01
22,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,2,7.330348e-01
23,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,3,2.008131e+00
24,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_6.wav,2,3.318017e+00
25,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,2,1.676128e+00
26,Ba_Da_Step_7.wav,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,2,1.111164e+00
27,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,2,6.909781e-01
28,Ba_Da_Step_1.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,2,1.480925e+00
29,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,2,2.172934e+00
30,Ba_Da_Step_6.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,2,1.488326e+00
31,Ba_Da_Step_6.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,2,6.924279e-01
32,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,Ba_Da_Step_5.wav,Ba_Da_Step_3.wav,3,2.210246e+00
33,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,3,1.122810e+00
34,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_7.wav,3,3.589530e-01
35,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,2,1.016989e+00
36,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,2,1.497618e+00
37,Ba_Da_Step_3.wav,Ba_Da_Step_3.wav,Ba_Da_Step_1.wav,Ba_Da_Step_3.wav,3,7.584341e-01
38,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,Ba_Da_Step_2.wav,Ba_Da_Step_4.wav,3,1.046703e+00
39,Ba_Da_Step_6.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,2,8.122549e-01
40,Ba_Da_Step_5.wav,Ba_Da_Step_7.wav,Ba_Da_Step_5.wav,Ba_Da_Step_5.wav,3,5.325670e+00
41,Ba_Da_Step_4.wav,Ba_Da_Step_6.wav,Ba_Da_Step_4.wav,Ba_Da_Step_4.wav,2,1.155392e+00
