2017-8-18,15:46:27
trial,sound1,sound2,sound3,sound4,selection,RT
1,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,3,1.444865e+00
2,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_7.wav,2,6.117220e-01
3,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,3,1.656368e-01
4,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,2,3.930080e-01
5,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,2,1.143512e+00
6,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,2,2.353170e-01
7,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_1.wav,2,3.963420e-01
8,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,3,5.441689e-01
9,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,2,8.055232e-01
10,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,3,8.824129e-01
11,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,2,1.338117e+00
12,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,3,1.397095e+00
13,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,2,1.422021e+00
14,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,3,7.080750e-01
15,Sa_Sha_Step_6.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,2,1.337912e+00
16,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,3,3.170760e-01
17,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,2,1.113872e+00
18,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,3,1.933815e+00
19,Sa_Sha_Step_1.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,3,5.055089e-01
20,Sa_Sha_Step_3.wav,Sa_Sha_Step_1.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,2,5.087321e-01
21,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,2,7.722299e-01
22,Sa_Sha_Step_2.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,3,1.388575e+00
23,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_6.wav,2,1.141332e+00
24,Sa_Sha_Step_7.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_7.wav,Sa_Sha_Step_7.wav,3,8.864882e-01
25,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,2,1.342130e+00
26,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_6.wav,Sa_Sha_Step_4.wav,3,1.065856e+00
27,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_3.wav,2,8.559830e-01
28,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,3,7.588050e-01
29,Sa_Sha_Step_5.wav,Sa_Sha_Step_5.wav,Sa_Sha_Step_3.wav,Sa_Sha_Step_5.wav,2,3.909521e-01
30,Sa_Sha_Step_4.wav,Sa_Sha_Step_4.wav,Sa_Sha_Step_2.wav,Sa_Sha_Step_4.wav,3,1.194778e+00
