2017-8-22,10:55:18
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_5.wav,Sa,Sha,Sa,3.800461e-01
2,Sa_Sha_Step_2.wav,Sa,Sha,Sha,1.132932e-01
3,Sa_Sha_Step_3.wav,Sa,Sha,Sa,6.961012e-02
4,Sa_Sha_Step_4.wav,Sa,Sha,Sha,3.667498e-02
5,Sa_Sha_Step_7.wav,Sa,Sha,Sa,9.902501e-02
6,Sa_Sha_Step_6.wav,Sa,Sha,Sha,1.396000e-01
7,Sa_Sha_Step_5.wav,Sa,Sha,Sa,6.898618e-02
8,Sa_Sha_Step_7.wav,Sa,Sha,Sha,2.446103e-02
9,Sa_Sha_Step_3.wav,Sa,Sha,Sa,2.095520e-01
10,Sa_Sha_Step_6.wav,Sa,Sha,Sha,3.936789e-01
11,Sa_Sha_Step_1.wav,Sa,Sha,Sa,3.156900e-02
12,Sa_Sha_Step_3.wav,Sa,Sha,Sha,6.351471e-04
13,Sa_Sha_Step_1.wav,Sa,Sha,Sa,8.588219e-02
14,Sa_Sha_Step_3.wav,Sa,Sha,Sa,2.413681e-01
15,Sa_Sha_Step_4.wav,Sa,Sha,Sha,4.987650e-01
16,Sa_Sha_Step_7.wav,Sa,Sha,Sha,4.278319e-01
17,Sa_Sha_Step_3.wav,Sa,Sha,Sa,1.390450e-01
18,Sa_Sha_Step_5.wav,Sa,Sha,Sha,4.487829e-01
19,Sa_Sha_Step_1.wav,Sa,Sha,Sa,3.846669e-01
20,Sa_Sha_Step_6.wav,Sa,Sha,Sha,3.903999e-01
21,Sa_Sha_Step_3.wav,Sa,Sha,Sa,4.008460e-01
22,Sa_Sha_Step_6.wav,Sa,Sha,Sha,5.507541e-01
23,Sa_Sha_Step_1.wav,Sa,Sha,Sa,6.141970e-01
24,Sa_Sha_Step_6.wav,Sa,Sha,Sha,6.792321e-01
25,Sa_Sha_Step_5.wav,Sa,Sha,Sa,4.988279e-01
26,Sa_Sha_Step_5.wav,Sa,Sha,Sha,3.836429e-01
27,Sa_Sha_Step_5.wav,Sa,Sha,Sa,1.892440e-01
28,Sa_Sha_Step_7.wav,Sa,Sha,Sha,4.644339e-01
29,Sa_Sha_Step_5.wav,Sa,Sha,Sa,4.606030e-01
30,Sa_Sha_Step_2.wav,Sa,Sha,Sha,3.849201e-01
31,Sa_Sha_Step_4.wav,Sa,Sha,Sa,5.861380e-01
32,Sa_Sha_Step_2.wav,Sa,Sha,Sha,5.545928e-01
33,Sa_Sha_Step_5.wav,Sa,Sha,Sa,2.498810e-01
34,Sa_Sha_Step_4.wav,Sa,Sha,Sha,2.871289e-01
35,Sa_Sha_Step_2.wav,Sa,Sha,Sa,2.383170e-01
36,Sa_Sha_Step_3.wav,Sa,Sha,Sha,3.625200e-01
37,Sa_Sha_Step_1.wav,Sa,Sha,Sa,4.036679e-01
38,Sa_Sha_Step_2.wav,Sa,Sha,Sha,3.381870e-01
39,Sa_Sha_Step_1.wav,Sa,Sha,Sa,3.225889e-01
40,Sa_Sha_Step_7.wav,Sa,Sha,Sha,3.506730e-01
41,Sa_Sha_Step_1.wav,Sa,Sha,Sa,2.870631e-01
42,Sa_Sha_Step_7.wav,Sa,Sha,Sha,2.575850e-01
43,Sa_Sha_Step_7.wav,Sa,Sha,Sa,4.310641e-01
44,Sa_Sha_Step_6.wav,Sa,Sha,Sha,5.422850e-01
45,Sa_Sha_Step_4.wav,Sa,Sha,Sa,3.211279e-01
46,Sa_Sha_Step_2.wav,Sa,Sha,Sha,3.291452e-01
47,Sa_Sha_Step_6.wav,Sa,Sha,Sa,3.888969e-01
48,Sa_Sha_Step_6.wav,Sa,Sha,Sa,4.228148e-01
49,Sa_Sha_Step_1.wav,Sa,Sha,Sha,2.817490e-01
50,Sa_Sha_Step_5.wav,Sa,Sha,Sa,3.755891e-01
51,Sa_Sha_Step_3.wav,Sa,Sha,Sha,3.012640e-01
52,Sa_Sha_Step_4.wav,Sa,Sha,Sa,3.525212e-01
53,Sa_Sha_Step_4.wav,Sa,Sha,Sha,3.806260e-01
54,Sa_Sha_Step_2.wav,Sa,Sha,Sa,5.027118e-01
55,Sa_Sha_Step_7.wav,Sa,Sha,Sha,3.323979e-01
56,Sa_Sha_Step_2.wav,Sa,Sha,Sa,3.849480e-01
57,Sa_Sha_Step_3.wav,Sa,Sha,Sha,2.897871e-01
58,Sa_Sha_Step_4.wav,Sa,Sha,Sa,3.082089e-01
59,Sa_Sha_Step_6.wav,Sa,Sha,Sha,4.234309e-01
60,Sa_Sha_Step_2.wav,Sa,Sha,Sa,5.587342e-01
61,Sa_Sha_Step_4.wav,Sa,Sha,Sha,3.500371e-01
62,Sa_Sha_Step_3.wav,Sa,Sha,Sa,6.387110e-01
63,Sa_Sha_Step_7.wav,Sa,Sha,Sha,3.850510e-01
64,Sa_Sha_Step_4.wav,Sa,Sha,Sa,4.311700e-01
65,Sa_Sha_Step_6.wav,Sa,Sha,Sha,4.983411e-01
66,Sa_Sha_Step_1.wav,Sa,Sha,Sa,4.154122e-01
67,Sa_Sha_Step_2.wav,Sa,Sha,Sha,3.825140e-01
68,Sa_Sha_Step_5.wav,Sa,Sha,Sa,3.445580e-01
69,Sa_Sha_Step_1.wav,Sa,Sha,Sha,2.173407e+00
70,Sa_Sha_Step_7.wav,Sa,Sha,Sa,7.112539e-01
