2017-9-20,17:4:2
trial,stimulus,sound1,sound2,selection,RT
1,Ba_Da_Step_3.wav,Ba,Da,Ba,1.554823e+00
2,Ba_Da_Step_3.wav,Ba,Da,Ba,7.479270e-01
3,Ba_Da_Step_6.wav,Ba,Da,Da,6.541171e-01
4,Ba_Da_Step_5.wav,Ba,Da,Da,2.169461e-01
5,Ba_Da_Step_6.wav,Ba,Da,Ba,9.768510e-01
6,Ba_Da_Step_5.wav,Ba,Da,Ba,2.419131e-01
7,Ba_Da_Step_7.wav,Ba,Da,Da,1.743610e-01
8,Ba_Da_Step_1.wav,Ba,Da,Ba,5.846391e-01
9,Ba_Da_Step_7.wav,Ba,Da,Da,6.648030e-01
10,Ba_Da_Step_2.wav,Ba,Da,Ba,6.441958e-01
11,Ba_Da_Step_4.wav,Ba,Da,Ba,2.424090e-01
12,Ba_Da_Step_2.wav,Ba,Da,Ba,7.632902e-01
13,Ba_Da_Step_6.wav,Ba,Da,Da,1.281754e+00
14,Ba_Da_Step_3.wav,Ba,Da,Ba,5.498121e-01
15,Ba_Da_Step_1.wav,Ba,Da,Ba,1.005165e+00
16,Ba_Da_Step_2.wav,Ba,Da,Ba,1.488133e+00
17,Ba_Da_Step_1.wav,Ba,Da,Ba,3.381600e-01
18,Ba_Da_Step_5.wav,Ba,Da,Ba,8.702900e-01
19,Ba_Da_Step_4.wav,Ba,Da,Ba,1.119819e+00
20,Ba_Da_Step_6.wav,Ba,Da,Ba,6.099219e-01
21,Ba_Da_Step_7.wav,Ba,Da,Ba,4.829900e-01
22,Ba_Da_Step_1.wav,Ba,Da,Ba,7.525470e-01
23,Ba_Da_Step_4.wav,Ba,Da,Ba,1.322313e+00
24,Ba_Da_Step_7.wav,Ba,Da,Da,1.232979e-01
25,Ba_Da_Step_3.wav,Ba,Da,Ba,7.640021e-01
26,Ba_Da_Step_7.wav,Ba,Da,Da,3.101661e-01
27,Ba_Da_Step_1.wav,Ba,Da,Ba,7.053530e-01
28,Ba_Da_Step_1.wav,Ba,Da,Da,6.934321e-01
29,Ba_Da_Step_2.wav,Ba,Da,Da,1.505973e+00
30,Ba_Da_Step_3.wav,Ba,Da,Ba,5.691900e-01
31,Ba_Da_Step_5.wav,Ba,Da,Ba,4.370141e-01
32,Ba_Da_Step_4.wav,Ba,Da,Ba,2.964530e-01
33,Ba_Da_Step_2.wav,Ba,Da,Ba,1.327317e+00
34,Ba_Da_Step_5.wav,Ba,Da,Da,1.452911e+00
35,Ba_Da_Step_2.wav,Ba,Da,Ba,3.745692e-01
36,Ba_Da_Step_3.wav,Ba,Da,Da,5.080771e-01
37,Ba_Da_Step_6.wav,Ba,Da,Da,2.170163e+00
38,Ba_Da_Step_1.wav,Ba,Da,Ba,3.343345e+00
39,Ba_Da_Step_7.wav,Ba,Da,Da,6.558468e-01
40,Ba_Da_Step_3.wav,Ba,Da,Ba,4.867620e-01
41,Ba_Da_Step_2.wav,Ba,Da,Ba,8.844509e-01
42,Ba_Da_Step_7.wav,Ba,Da,Da,3.502831e-01
43,Ba_Da_Step_3.wav,Ba,Da,Da,1.102784e+00
44,Ba_Da_Step_6.wav,Ba,Da,Ba,3.860791e+00
45,Ba_Da_Step_6.wav,Ba,Da,Da,2.327412e+00
46,Ba_Da_Step_4.wav,Ba,Da,Da,4.578919e-01
47,Ba_Da_Step_1.wav,Ba,Da,Ba,2.030233e+00
48,Ba_Da_Step_6.wav,Ba,Da,Ba,6.179810e-04
49,Ba_Da_Step_6.wav,Ba,Da,Ba,6.020069e-04
50,Ba_Da_Step_5.wav,Ba,Da,Da,6.599529e-01
51,Ba_Da_Step_4.wav,Ba,Da,Ba,1.629870e-01
52,Ba_Da_Step_5.wav,Ba,Da,Ba,9.091501e-01
53,Ba_Da_Step_5.wav,Ba,Da,Ba,5.885990e-01
54,Ba_Da_Step_2.wav,Ba,Da,Ba,4.928479e-01
55,Ba_Da_Step_4.wav,Ba,Da,Ba,4.344678e-01
56,Ba_Da_Step_5.wav,Ba,Da,Da,7.734969e-01
57,Ba_Da_Step_1.wav,Ba,Da,Da,4.963949e-01
58,Ba_Da_Step_2.wav,Ba,Da,Ba,4.190493e-02
59,Ba_Da_Step_3.wav,Ba,Da,Ba,5.912222e+00
60,Ba_Da_Step_7.wav,Ba,Da,Ba,4.030681e-01
61,Ba_Da_Step_4.wav,Ba,Da,Ba,1.374760e-01
62,Ba_Da_Step_3.wav,Ba,Da,Da,1.467088e+00
63,Ba_Da_Step_4.wav,Ba,Da,Ba,1.416861e+00
64,Ba_Da_Step_5.wav,Ba,Da,Da,1.366410e-01
65,Ba_Da_Step_2.wav,Ba,Da,Da,1.860721e-01
66,Ba_Da_Step_7.wav,Ba,Da,Ba,1.112602e+00
67,Ba_Da_Step_7.wav,Ba,Da,Da,5.506949e-01
68,Ba_Da_Step_6.wav,Ba,Da,Da,9.579248e-01
69,Ba_Da_Step_4.wav,Ba,Da,Da,5.189731e-01
70,Ba_Da_Step_1.wav,Ba,Da,Ba,8.122897e-02
