2017-9-25,16:53:58
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_5.wav,Sha,Sa,Sa,7.218449e-01
2,Sa_Sha_Step_3.wav,Sha,Sa,Sha,4.911041e-01
3,Sa_Sha_Step_7.wav,Sha,Sa,Sa,4.962540e-01
4,Sa_Sha_Step_5.wav,Sha,Sa,Sa,1.629327e+00
5,Sa_Sha_Step_6.wav,Sha,Sa,Sa,4.877279e-01
6,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.560574e+00
7,Sa_Sha_Step_1.wav,Sha,Sa,Sha,6.820168e-01
8,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.581008e+00
9,Sa_Sha_Step_4.wav,Sha,Sa,Sha,5.267298e-01
10,Sa_Sha_Step_3.wav,Sha,Sa,Sha,6.090472e-01
11,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.424371e-01
12,Sa_Sha_Step_2.wav,Sha,Sa,Sha,2.521648e+00
13,Sa_Sha_Step_3.wav,Sha,Sa,Sha,2.163230e+00
14,Sa_Sha_Step_2.wav,Sha,Sa,Sha,4.049549e-01
15,Sa_Sha_Step_6.wav,Sha,Sa,Sha,1.051475e+00
16,Sa_Sha_Step_7.wav,Sha,Sa,Sa,3.115101e-01
17,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.130830e+00
18,Sa_Sha_Step_6.wav,Sha,Sa,Sa,7.978301e-01
19,Sa_Sha_Step_3.wav,Sha,Sa,Sha,9.053719e-01
20,Sa_Sha_Step_4.wav,Sha,Sa,Sha,2.860512e+00
21,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.653371e-01
22,Sa_Sha_Step_7.wav,Sha,Sa,Sa,2.948568e+00
23,Sa_Sha_Step_6.wav,Sha,Sa,Sha,1.695996e+00
24,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.578580e-01
25,Sa_Sha_Step_4.wav,Sha,Sa,Sha,5.571861e-01
26,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.565360e-01
27,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.915201e-01
28,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.198140e-01
29,Sa_Sha_Step_3.wav,Sha,Sa,Sha,7.221680e-01
30,Sa_Sha_Step_5.wav,Sha,Sa,Sa,7.394960e-01
31,Sa_Sha_Step_7.wav,Sha,Sa,Sa,2.041097e+00
32,Sa_Sha_Step_6.wav,Sha,Sa,Sha,5.544262e-01
33,Sa_Sha_Step_6.wav,Sha,Sa,Sa,6.745050e-01
34,Sa_Sha_Step_2.wav,Sha,Sa,Sha,7.697170e-01
35,Sa_Sha_Step_4.wav,Sha,Sa,Sa,7.442129e-01
36,Sa_Sha_Step_6.wav,Sha,Sa,Sa,1.394255e+00
37,Sa_Sha_Step_5.wav,Sha,Sa,Sha,1.554323e+00
38,Sa_Sha_Step_2.wav,Sha,Sa,Sha,6.191640e-01
39,Sa_Sha_Step_2.wav,Sha,Sa,Sha,2.265048e+00
40,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.254979e-01
41,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.998309e-01
42,Sa_Sha_Step_7.wav,Sha,Sa,Sa,6.567812e-01
43,Sa_Sha_Step_2.wav,Sha,Sa,Sha,6.476331e-01
44,Sa_Sha_Step_1.wav,Sha,Sa,Sha,4.102850e-01
45,Sa_Sha_Step_6.wav,Sha,Sa,Sa,1.672793e+00
46,Sa_Sha_Step_2.wav,Sha,Sa,Sha,1.997437e+00
47,Sa_Sha_Step_7.wav,Sha,Sa,Sa,7.253339e-01
48,Sa_Sha_Step_2.wav,Sha,Sa,Sha,1.246662e+00
49,Sa_Sha_Step_6.wav,Sha,Sa,Sa,2.781526e+00
50,Sa_Sha_Step_1.wav,Sha,Sa,Sha,3.155415e+00
51,Sa_Sha_Step_5.wav,Sha,Sa,Sa,7.020111e-01
52,Sa_Sha_Step_7.wav,Sha,Sa,Sa,3.424511e-01
53,Sa_Sha_Step_4.wav,Sha,Sa,Sha,6.023901e-01
54,Sa_Sha_Step_3.wav,Sha,Sa,Sha,8.754721e-01
55,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.898671e-01
56,Sa_Sha_Step_4.wav,Sha,Sa,Sa,1.446141e+00
57,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.871680e-01
58,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.714788e-01
59,Sa_Sha_Step_4.wav,Sha,Sa,Sha,8.116419e-01
60,Sa_Sha_Step_4.wav,Sha,Sa,Sha,5.795641e-01
61,Sa_Sha_Step_4.wav,Sha,Sa,Sha,3.075939e+00
62,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.423809e+00
63,Sa_Sha_Step_4.wav,Sha,Sa,Sha,3.363941e-01
64,Sa_Sha_Step_6.wav,Sha,Sa,Sa,4.719548e-01
65,Sa_Sha_Step_5.wav,Sha,Sa,Sha,9.003708e-01
66,Sa_Sha_Step_5.wav,Sha,Sa,Sha,5.758932e-01
67,Sa_Sha_Step_1.wav,Sha,Sa,Sha,3.727696e+00
68,Sa_Sha_Step_1.wav,Sha,Sa,Sha,4.665580e-01
69,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.383731e-01
70,Sa_Sha_Step_5.wav,Sha,Sa,Sa,1.884763e+00
