2017-12-11,17:12:46
trial,stimulus,sound1,sound2,selection,RT
1,Ba_Da_Step_3.wav,Ba,Da,Ba,4.704280e-01
2,Ba_Da_Step_7.wav,Ba,Da,Da,1.467321e-01
3,Ba_Da_Step_7.wav,Ba,Da,Da,1.632919e-01
4,Ba_Da_Step_6.wav,Ba,Da,Da,1.772330e-01
5,Ba_Da_Step_5.wav,Ba,Da,Da,3.838198e-01
6,Ba_Da_Step_6.wav,Ba,Da,Da,2.089942e-01
7,Ba_Da_Step_6.wav,Ba,Da,Da,2.963231e-01
8,Ba_Da_Step_7.wav,Ba,Da,Da,2.342598e-01
9,Ba_Da_Step_1.wav,Ba,Da,Ba,2.900150e-01
10,Ba_Da_Step_7.wav,Ba,Da,Ba,7.922831e-01
11,Ba_Da_Step_4.wav,Ba,Da,Da,5.754559e-01
12,Ba_Da_Step_2.wav,Ba,Da,Ba,4.556470e-01
13,Ba_Da_Step_6.wav,Ba,Da,Ba,1.196097e+00
14,Ba_Da_Step_1.wav,Ba,Da,Ba,3.649778e-01
15,Ba_Da_Step_2.wav,Ba,Da,Da,5.662448e-01
16,Ba_Da_Step_2.wav,Ba,Da,Ba,7.816460e-01
17,Ba_Da_Step_6.wav,Ba,Da,Da,3.649158e-01
18,Ba_Da_Step_6.wav,Ba,Da,Ba,5.582099e-01
19,Ba_Da_Step_7.wav,Ba,Da,Da,3.414791e-01
20,Ba_Da_Step_6.wav,Ba,Da,Da,2.102001e-01
21,Ba_Da_Step_2.wav,Ba,Da,Ba,9.628057e-03
22,Ba_Da_Step_1.wav,Ba,Da,Ba,2.660420e-01
23,Ba_Da_Step_7.wav,Ba,Da,Da,4.359212e-01
24,Ba_Da_Step_1.wav,Ba,Da,Ba,4.270298e-01
25,Ba_Da_Step_4.wav,Ba,Da,Ba,4.501691e-01
26,Ba_Da_Step_1.wav,Ba,Da,Da,4.296000e-01
27,Ba_Da_Step_2.wav,Ba,Da,Ba,2.208910e-01
28,Ba_Da_Step_3.wav,Ba,Da,Da,2.849948e-01
29,Ba_Da_Step_4.wav,Ba,Da,Da,8.875680e-01
30,Ba_Da_Step_1.wav,Ba,Da,Ba,5.618129e-01
31,Ba_Da_Step_4.wav,Ba,Da,Da,4.449079e-01
32,Ba_Da_Step_4.wav,Ba,Da,Da,5.080791e-01
33,Ba_Da_Step_7.wav,Ba,Da,Da,1.976430e-01
34,Ba_Da_Step_5.wav,Ba,Da,Da,3.649261e-01
35,Ba_Da_Step_6.wav,Ba,Da,Da,4.062881e-01
36,Ba_Da_Step_2.wav,Ba,Da,Da,8.445039e-01
37,Ba_Da_Step_3.wav,Ba,Da,Ba,2.181487e+00
38,Ba_Da_Step_5.wav,Ba,Da,Da,4.197109e-01
39,Ba_Da_Step_1.wav,Ba,Da,Da,2.601905e+00
40,Ba_Da_Step_4.wav,Ba,Da,Da,8.178616e-02
41,Ba_Da_Step_6.wav,Ba,Da,Ba,6.495190e-02
42,Ba_Da_Step_5.wav,Ba,Da,Da,4.032359e-01
43,Ba_Da_Step_5.wav,Ba,Da,Da,1.412339e-01
44,Ba_Da_Step_5.wav,Ba,Da,Ba,8.546021e-01
45,Ba_Da_Step_4.wav,Ba,Da,Da,6.359370e-01
46,Ba_Da_Step_5.wav,Ba,Da,Ba,4.261811e-01
47,Ba_Da_Step_7.wav,Ba,Da,Da,1.454542e-01
48,Ba_Da_Step_1.wav,Ba,Da,Ba,1.362726e+00
49,Ba_Da_Step_1.wav,Ba,Da,Ba,4.410691e-01
50,Ba_Da_Step_2.wav,Ba,Da,Da,2.963541e-01
51,Ba_Da_Step_3.wav,Ba,Da,Ba,5.786850e-01
52,Ba_Da_Step_4.wav,Ba,Da,Ba,6.349409e-01
53,Ba_Da_Step_3.wav,Ba,Da,Ba,7.450690e-01
54,Ba_Da_Step_2.wav,Ba,Da,Ba,1.235423e+00
55,Ba_Da_Step_4.wav,Ba,Da,Ba,3.292220e-01
56,Ba_Da_Step_2.wav,Ba,Da,Ba,5.088069e-01
57,Ba_Da_Step_3.wav,Ba,Da,Ba,3.544972e-01
58,Ba_Da_Step_3.wav,Ba,Da,Ba,3.352768e-01
59,Ba_Da_Step_5.wav,Ba,Da,Da,6.672659e-01
60,Ba_Da_Step_3.wav,Ba,Da,Da,1.986179e-01
61,Ba_Da_Step_4.wav,Ba,Da,Ba,2.861280e-01
62,Ba_Da_Step_7.wav,Ba,Da,Ba,5.721810e-01
63,Ba_Da_Step_6.wav,Ba,Da,Da,3.955851e-01
64,Ba_Da_Step_3.wav,Ba,Da,Da,7.538900e-01
65,Ba_Da_Step_5.wav,Ba,Da,Ba,1.572123e+00
66,Ba_Da_Step_1.wav,Ba,Da,Da,2.137392e-01
67,Ba_Da_Step_7.wav,Ba,Da,Ba,5.030632e-04
68,Ba_Da_Step_3.wav,Ba,Da,Da,1.765541e+00
69,Ba_Da_Step_2.wav,Ba,Da,Ba,1.741574e+00
70,Ba_Da_Step_5.wav,Ba,Da,Da,5.729399e-01
