2017-8-17,10:43:35
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_5.wav,Sha,Sa,Sa,7.574010e-01
2,Sa_Sha_Step_4.wav,Sha,Sa,Sa,2.714229e-01
3,Sa_Sha_Step_3.wav,Sha,Sa,Sha,6.174181e-01
4,Sa_Sha_Step_2.wav,Sha,Sa,Sa,7.072349e-01
5,Sa_Sha_Step_2.wav,Sha,Sa,Sha,1.795461e-01
6,Sa_Sha_Step_6.wav,Sha,Sa,Sa,3.788588e-01
7,Sa_Sha_Step_7.wav,Sha,Sa,Sha,2.920911e-01
8,Sa_Sha_Step_1.wav,Sha,Sa,Sa,4.269350e-01
9,Sa_Sha_Step_3.wav,Sha,Sa,Sha,2.936749e-01
10,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.831718e-04
11,Sa_Sha_Step_6.wav,Sha,Sa,Sha,6.520748e-04
12,Sa_Sha_Step_5.wav,Sha,Sa,Sa,1.705871e-01
13,Sa_Sha_Step_3.wav,Sha,Sa,Sa,4.890800e-01
14,Sa_Sha_Step_7.wav,Sha,Sa,Sha,2.665579e-01
15,Sa_Sha_Step_7.wav,Sha,Sa,Sa,1.526349e-01
16,Sa_Sha_Step_5.wav,Sha,Sa,Sha,3.871469e-01
17,Sa_Sha_Step_7.wav,Sha,Sa,Sa,2.289679e-01
18,Sa_Sha_Step_7.wav,Sha,Sa,Sa,2.938418e-01
19,Sa_Sha_Step_1.wav,Sha,Sa,Sha,6.699562e-04
20,Sa_Sha_Step_2.wav,Sha,Sa,Sa,6.129742e-04
21,Sa_Sha_Step_2.wav,Sha,Sa,Sha,3.219092e-01
22,Sa_Sha_Step_6.wav,Sha,Sa,Sa,1.489739e-01
23,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.184111e-01
24,Sa_Sha_Step_2.wav,Sha,Sa,Sa,8.105710e-01
25,Sa_Sha_Step_5.wav,Sha,Sa,Sha,3.911080e-01
26,Sa_Sha_Step_1.wav,Sha,Sa,Sa,5.040169e-04
27,Sa_Sha_Step_3.wav,Sha,Sa,Sha,1.824689e-02
28,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.280209e-01
29,Sa_Sha_Step_5.wav,Sha,Sa,Sha,6.063790e-01
30,Sa_Sha_Step_4.wav,Sha,Sa,Sa,3.113191e-01
31,Sa_Sha_Step_6.wav,Sha,Sa,Sa,3.870358e-01
32,Sa_Sha_Step_6.wav,Sha,Sa,Sa,1.167049e-01
33,Sa_Sha_Step_5.wav,Sha,Sa,Sa,2.933168e-01
34,Sa_Sha_Step_3.wav,Sha,Sa,Sha,1.015700e+00
35,Sa_Sha_Step_3.wav,Sha,Sa,Sa,4.468150e-01
36,Sa_Sha_Step_7.wav,Sha,Sa,Sa,1.427991e-01
37,Sa_Sha_Step_6.wav,Sha,Sa,Sa,3.486040e-01
38,Sa_Sha_Step_4.wav,Sha,Sa,Sa,1.534061e-01
39,Sa_Sha_Step_2.wav,Sha,Sa,Sa,3.352151e-01
40,Sa_Sha_Step_1.wav,Sha,Sa,Sa,9.153240e-01
41,Sa_Sha_Step_4.wav,Sha,Sa,Sa,1.788080e-01
42,Sa_Sha_Step_1.wav,Sha,Sa,Sa,2.858150e-01
43,Sa_Sha_Step_1.wav,Sha,Sa,Sa,3.042741e-01
44,Sa_Sha_Step_4.wav,Sha,Sa,Sa,2.594860e-01
45,Sa_Sha_Step_3.wav,Sha,Sa,Sa,6.070137e-04
46,Sa_Sha_Step_4.wav,Sha,Sa,Sa,2.980440e-01
47,Sa_Sha_Step_2.wav,Sha,Sa,Sa,3.448792e-01
48,Sa_Sha_Step_3.wav,Sha,Sa,Sha,1.650312e-01
49,Sa_Sha_Step_5.wav,Sha,Sa,Sa,5.190372e-04
50,Sa_Sha_Step_3.wav,Sha,Sa,Sha,3.042338e-01
51,Sa_Sha_Step_4.wav,Sha,Sa,Sa,3.955431e-01
52,Sa_Sha_Step_3.wav,Sha,Sa,Sha,3.699079e-01
53,Sa_Sha_Step_5.wav,Sha,Sa,Sha,4.314690e-01
54,Sa_Sha_Step_1.wav,Sha,Sa,Sa,2.630272e-01
55,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.926039e-01
56,Sa_Sha_Step_5.wav,Sha,Sa,Sha,4.975920e-01
57,Sa_Sha_Step_7.wav,Sha,Sa,Sha,4.064779e-01
58,Sa_Sha_Step_4.wav,Sha,Sa,Sa,3.089910e-01
59,Sa_Sha_Step_2.wav,Sha,Sa,Sa,1.048109e+00
60,Sa_Sha_Step_6.wav,Sha,Sa,Sha,2.283518e-01
61,Sa_Sha_Step_4.wav,Sha,Sa,Sha,3.567209e-01
62,Sa_Sha_Step_1.wav,Sha,Sa,Sa,2.769861e-01
63,Sa_Sha_Step_7.wav,Sha,Sa,Sha,2.713909e-01
64,Sa_Sha_Step_7.wav,Sha,Sa,Sa,8.550692e-02
65,Sa_Sha_Step_2.wav,Sha,Sa,Sha,4.729359e-01
66,Sa_Sha_Step_5.wav,Sha,Sa,Sa,2.384629e-01
67,Sa_Sha_Step_7.wav,Sha,Sa,Sa,1.626770e-01
68,Sa_Sha_Step_1.wav,Sha,Sa,Sa,3.571169e-01
69,Sa_Sha_Step_6.wav,Sha,Sa,Sa,2.212520e-01
70,Sa_Sha_Step_4.wav,Sha,Sa,Sa,3.414319e-01
