2017-12-20,12:3:37
trial,stimulus,sound1,sound2,selection,RT
1,Ba_Da_Step_5.wav,Ba,Da,Da,8.729119e-01
2,Ba_Da_Step_6.wav,Ba,Da,Da,6.549249e-01
3,Ba_Da_Step_4.wav,Ba,Da,Da,8.772080e-01
4,Ba_Da_Step_1.wav,Ba,Da,Ba,5.598640e-01
5,Ba_Da_Step_7.wav,Ba,Da,Da,3.465478e-01
6,Ba_Da_Step_3.wav,Ba,Da,Ba,4.190061e-01
7,Ba_Da_Step_5.wav,Ba,Da,Da,5.614898e-01
8,Ba_Da_Step_4.wav,Ba,Da,Da,6.924601e-01
9,Ba_Da_Step_7.wav,Ba,Da,Da,3.206770e-01
10,Ba_Da_Step_7.wav,Ba,Da,Da,5.194910e-01
11,Ba_Da_Step_3.wav,Ba,Da,Ba,3.654759e-01
12,Ba_Da_Step_1.wav,Ba,Da,Ba,4.946730e-01
13,Ba_Da_Step_1.wav,Ba,Da,Ba,4.001639e-01
14,Ba_Da_Step_5.wav,Ba,Da,Da,4.945152e-01
15,Ba_Da_Step_7.wav,Ba,Da,Da,1.876569e-01
16,Ba_Da_Step_6.wav,Ba,Da,Da,2.949512e-01
17,Ba_Da_Step_3.wav,Ba,Da,Ba,5.575020e-01
18,Ba_Da_Step_2.wav,Ba,Da,Da,9.765811e-01
19,Ba_Da_Step_2.wav,Ba,Da,Ba,8.656600e-01
20,Ba_Da_Step_1.wav,Ba,Da,Ba,7.197299e-01
21,Ba_Da_Step_6.wav,Ba,Da,Da,9.281669e-01
22,Ba_Da_Step_1.wav,Ba,Da,Ba,3.323600e-01
23,Ba_Da_Step_6.wav,Ba,Da,Da,1.128221e+00
24,Ba_Da_Step_2.wav,Ba,Da,Ba,4.706190e-01
25,Ba_Da_Step_1.wav,Ba,Da,Ba,3.474650e-01
26,Ba_Da_Step_3.wav,Ba,Da,Ba,1.351590e+00
27,Ba_Da_Step_4.wav,Ba,Da,Da,4.729850e-01
28,Ba_Da_Step_4.wav,Ba,Da,Da,7.814000e-01
29,Ba_Da_Step_5.wav,Ba,Da,Da,4.927530e-01
30,Ba_Da_Step_7.wav,Ba,Da,Da,4.302700e-01
31,Ba_Da_Step_2.wav,Ba,Da,Ba,4.292290e-01
32,Ba_Da_Step_3.wav,Ba,Da,Ba,6.364810e-01
33,Ba_Da_Step_4.wav,Ba,Da,Da,3.946669e-01
34,Ba_Da_Step_5.wav,Ba,Da,Da,3.247180e-01
35,Ba_Da_Step_4.wav,Ba,Da,Da,6.842360e-01
36,Ba_Da_Step_2.wav,Ba,Da,Ba,2.796590e-01
37,Ba_Da_Step_3.wav,Ba,Da,Ba,5.098178e-01
38,Ba_Da_Step_1.wav,Ba,Da,Ba,7.993002e-01
39,Ba_Da_Step_7.wav,Ba,Da,Da,4.749541e-01
40,Ba_Da_Step_7.wav,Ba,Da,Da,3.476059e-01
41,Ba_Da_Step_1.wav,Ba,Da,Ba,4.441931e-01
42,Ba_Da_Step_7.wav,Ba,Da,Da,4.032402e-01
43,Ba_Da_Step_5.wav,Ba,Da,Da,3.856330e-01
44,Ba_Da_Step_4.wav,Ba,Da,Da,2.028542e-01
45,Ba_Da_Step_7.wav,Ba,Da,Da,1.382020e-01
46,Ba_Da_Step_6.wav,Ba,Da,Da,7.673690e-01
47,Ba_Da_Step_5.wav,Ba,Da,Da,2.618170e-01
48,Ba_Da_Step_5.wav,Ba,Da,Da,4.589548e-01
49,Ba_Da_Step_4.wav,Ba,Da,Da,9.193439e-01
50,Ba_Da_Step_3.wav,Ba,Da,Ba,3.465350e-01
51,Ba_Da_Step_1.wav,Ba,Da,Ba,3.744850e-01
52,Ba_Da_Step_2.wav,Ba,Da,Ba,2.281601e-01
53,Ba_Da_Step_2.wav,Ba,Da,Ba,3.802981e-01
54,Ba_Da_Step_7.wav,Ba,Da,Da,6.535442e-01
55,Ba_Da_Step_2.wav,Ba,Da,Ba,1.315704e+00
56,Ba_Da_Step_6.wav,Ba,Da,Da,8.289411e-01
57,Ba_Da_Step_6.wav,Ba,Da,Da,2.770052e-01
58,Ba_Da_Step_3.wav,Ba,Da,Ba,6.110690e-01
59,Ba_Da_Step_6.wav,Ba,Da,Da,4.004779e-01
60,Ba_Da_Step_2.wav,Ba,Da,Da,4.708650e-01
61,Ba_Da_Step_4.wav,Ba,Da,Da,8.671730e-01
62,Ba_Da_Step_4.wav,Ba,Da,Ba,3.852150e-01
63,Ba_Da_Step_3.wav,Ba,Da,Ba,5.748081e-01
64,Ba_Da_Step_3.wav,Ba,Da,Ba,6.630108e-01
65,Ba_Da_Step_5.wav,Ba,Da,Da,7.179770e-01
66,Ba_Da_Step_1.wav,Ba,Da,Ba,2.989669e-01
67,Ba_Da_Step_2.wav,Ba,Da,Ba,9.777000e-01
68,Ba_Da_Step_5.wav,Ba,Da,Da,2.202884e+00
69,Ba_Da_Step_6.wav,Ba,Da,Da,8.896101e-01
70,Ba_Da_Step_6.wav,Ba,Da,Da,1.432421e+00
