2017-9-21,10:58:31
trial,stimulus,sound1,sound2,selection,RT
1,Ba_Da_Step_7.wav,Da,Ba,Da,7.727880e-01
2,Ba_Da_Step_1.wav,Da,Ba,Ba,1.191884e+00
3,Ba_Da_Step_4.wav,Da,Ba,Da,1.135815e+00
4,Ba_Da_Step_2.wav,Da,Ba,Ba,1.994729e+00
5,Ba_Da_Step_3.wav,Da,Ba,Ba,5.020661e-01
6,Ba_Da_Step_2.wav,Da,Ba,Ba,5.071340e-01
7,Ba_Da_Step_1.wav,Da,Ba,Ba,5.214698e-01
8,Ba_Da_Step_2.wav,Da,Ba,Ba,4.834821e-01
9,Ba_Da_Step_1.wav,Da,Ba,Ba,4.718418e-01
10,Ba_Da_Step_5.wav,Da,Ba,Ba,5.963731e-01
11,Ba_Da_Step_6.wav,Da,Ba,Da,2.140408e+00
12,Ba_Da_Step_3.wav,Da,Ba,Ba,1.117299e+00
13,Ba_Da_Step_7.wav,Da,Ba,Da,5.594292e-01
14,Ba_Da_Step_7.wav,Da,Ba,Da,5.988059e-01
15,Ba_Da_Step_4.wav,Da,Ba,Ba,1.039992e+00
16,Ba_Da_Step_5.wav,Da,Ba,Da,4.761150e-01
17,Ba_Da_Step_2.wav,Da,Ba,Ba,1.200361e+00
18,Ba_Da_Step_3.wav,Da,Ba,Ba,2.001330e+00
19,Ba_Da_Step_5.wav,Da,Ba,Da,9.933858e-01
20,Ba_Da_Step_1.wav,Da,Ba,Ba,6.795349e-01
21,Ba_Da_Step_5.wav,Da,Ba,Da,1.194823e+00
22,Ba_Da_Step_6.wav,Da,Ba,Da,1.019802e+00
23,Ba_Da_Step_5.wav,Da,Ba,Da,3.231730e-01
24,Ba_Da_Step_2.wav,Da,Ba,Ba,3.624790e-01
25,Ba_Da_Step_7.wav,Da,Ba,Da,3.397679e-01
26,Ba_Da_Step_3.wav,Da,Ba,Ba,7.036748e-01
27,Ba_Da_Step_3.wav,Da,Ba,Ba,5.921772e-01
28,Ba_Da_Step_2.wav,Da,Ba,Ba,6.608262e-01
29,Ba_Da_Step_1.wav,Da,Ba,Ba,7.754741e-01
30,Ba_Da_Step_6.wav,Da,Ba,Da,1.186311e+00
31,Ba_Da_Step_7.wav,Da,Ba,Da,7.910521e-01
32,Ba_Da_Step_3.wav,Da,Ba,Ba,7.580559e-01
33,Ba_Da_Step_3.wav,Da,Ba,Ba,1.176105e+00
34,Ba_Da_Step_7.wav,Da,Ba,Da,9.042411e-01
35,Ba_Da_Step_3.wav,Da,Ba,Ba,9.394741e-01
36,Ba_Da_Step_2.wav,Da,Ba,Ba,5.514469e-01
37,Ba_Da_Step_6.wav,Da,Ba,Da,1.630833e+00
38,Ba_Da_Step_5.wav,Da,Ba,Da,9.423959e-01
39,Ba_Da_Step_2.wav,Da,Ba,Ba,4.311111e-01
40,Ba_Da_Step_7.wav,Da,Ba,Da,8.380301e-01
41,Ba_Da_Step_4.wav,Da,Ba,Ba,6.184840e-01
42,Ba_Da_Step_3.wav,Da,Ba,Ba,7.395408e-01
43,Ba_Da_Step_7.wav,Da,Ba,Da,3.807909e-01
44,Ba_Da_Step_6.wav,Da,Ba,Da,4.780009e-01
45,Ba_Da_Step_5.wav,Da,Ba,Da,8.742831e-01
46,Ba_Da_Step_4.wav,Da,Ba,Ba,4.607201e-01
47,Ba_Da_Step_6.wav,Da,Ba,Da,7.891510e-01
48,Ba_Da_Step_3.wav,Da,Ba,Ba,8.119619e-01
49,Ba_Da_Step_2.wav,Da,Ba,Ba,3.239210e-01
50,Ba_Da_Step_1.wav,Da,Ba,Ba,4.596009e-01
51,Ba_Da_Step_7.wav,Da,Ba,Da,5.602190e-01
52,Ba_Da_Step_4.wav,Da,Ba,Da,4.109051e-01
53,Ba_Da_Step_6.wav,Da,Ba,Da,1.053650e-01
54,Ba_Da_Step_1.wav,Da,Ba,Ba,3.342149e-01
55,Ba_Da_Step_4.wav,Da,Ba,Da,7.616808e-01
56,Ba_Da_Step_1.wav,Da,Ba,Ba,3.681891e-01
57,Ba_Da_Step_5.wav,Da,Ba,Da,6.252830e-01
58,Ba_Da_Step_6.wav,Da,Ba,Da,4.309878e-01
59,Ba_Da_Step_4.wav,Da,Ba,Da,3.979051e-01
60,Ba_Da_Step_1.wav,Da,Ba,Ba,2.923090e-01
61,Ba_Da_Step_4.wav,Da,Ba,Ba,3.384750e-01
62,Ba_Da_Step_5.wav,Da,Ba,Da,4.429832e-01
63,Ba_Da_Step_5.wav,Da,Ba,Da,7.863741e-01
64,Ba_Da_Step_4.wav,Da,Ba,Da,5.532839e-01
65,Ba_Da_Step_1.wav,Da,Ba,Ba,5.366910e-01
66,Ba_Da_Step_6.wav,Da,Ba,Da,8.438442e-01
67,Ba_Da_Step_7.wav,Da,Ba,Da,5.050750e-01
68,Ba_Da_Step_6.wav,Da,Ba,Da,6.069140e-01
69,Ba_Da_Step_2.wav,Da,Ba,Ba,3.475170e-01
70,Ba_Da_Step_4.wav,Da,Ba,Da,3.161130e-01
