2017-11-6,16:6:7
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_3.wav,Sa,Sha,Sha,1.953820e+00
2,Sa_Sha_Step_5.wav,Sa,Sha,Sha,9.486051e-01
3,Sa_Sha_Step_7.wav,Sa,Sha,Sa,7.168839e-01
4,Sa_Sha_Step_2.wav,Sa,Sha,Sha,2.597548e+00
5,Sa_Sha_Step_5.wav,Sa,Sha,Sa,1.413910e+00
6,Sa_Sha_Step_6.wav,Sa,Sha,Sa,7.108629e-01
7,Sa_Sha_Step_2.wav,Sa,Sha,Sha,9.912200e-01
8,Sa_Sha_Step_4.wav,Sa,Sha,Sha,1.965395e+00
9,Sa_Sha_Step_3.wav,Sa,Sha,Sa,6.479552e-01
10,Sa_Sha_Step_2.wav,Sa,Sha,Sha,1.623086e+00
11,Sa_Sha_Step_4.wav,Sa,Sha,Sa,1.122457e+00
12,Sa_Sha_Step_1.wav,Sa,Sha,Sha,8.693731e-01
13,Sa_Sha_Step_1.wav,Sa,Sha,Sha,6.717920e-01
14,Sa_Sha_Step_4.wav,Sa,Sha,Sha,6.639581e-01
15,Sa_Sha_Step_6.wav,Sa,Sha,Sa,7.548909e-01
16,Sa_Sha_Step_2.wav,Sa,Sha,Sha,8.651800e-01
17,Sa_Sha_Step_3.wav,Sa,Sha,Sha,1.027674e+00
18,Sa_Sha_Step_4.wav,Sa,Sha,Sa,1.067726e+00
19,Sa_Sha_Step_2.wav,Sa,Sha,Sha,1.088915e+00
20,Sa_Sha_Step_5.wav,Sa,Sha,Sa,5.618670e-01
21,Sa_Sha_Step_2.wav,Sa,Sha,Sha,2.020071e-01
22,Sa_Sha_Step_5.wav,Sa,Sha,Sha,1.057530e+00
23,Sa_Sha_Step_3.wav,Sa,Sha,Sha,8.183310e-01
24,Sa_Sha_Step_4.wav,Sa,Sha,Sa,1.483072e+00
25,Sa_Sha_Step_1.wav,Sa,Sha,Sha,6.336989e-01
26,Sa_Sha_Step_7.wav,Sa,Sha,Sa,9.561260e-01
27,Sa_Sha_Step_7.wav,Sa,Sha,Sha,6.612980e-01
28,Sa_Sha_Step_7.wav,Sa,Sha,Sa,1.308344e+00
29,Sa_Sha_Step_1.wav,Sa,Sha,Sha,2.013457e+00
30,Sa_Sha_Step_6.wav,Sa,Sha,Sa,7.703540e-01
31,Sa_Sha_Step_4.wav,Sa,Sha,Sha,8.052509e-01
32,Sa_Sha_Step_3.wav,Sa,Sha,Sha,8.293741e-01
33,Sa_Sha_Step_2.wav,Sa,Sha,Sha,9.056289e-01
34,Sa_Sha_Step_1.wav,Sa,Sha,Sha,4.770000e-01
35,Sa_Sha_Step_7.wav,Sa,Sha,Sha,5.620909e-01
36,Sa_Sha_Step_3.wav,Sa,Sha,Sa,4.577478e+00
37,Sa_Sha_Step_4.wav,Sa,Sha,Sha,1.012177e+00
38,Sa_Sha_Step_5.wav,Sa,Sha,Sa,6.913550e-01
39,Sa_Sha_Step_5.wav,Sa,Sha,Sha,8.431752e-01
40,Sa_Sha_Step_2.wav,Sa,Sha,Sha,5.603211e-01
41,Sa_Sha_Step_5.wav,Sa,Sha,Sa,5.000241e-01
42,Sa_Sha_Step_3.wav,Sa,Sha,Sha,5.176520e-01
43,Sa_Sha_Step_3.wav,Sa,Sha,Sha,3.521261e-01
44,Sa_Sha_Step_7.wav,Sa,Sha,Sa,5.125601e-01
45,Sa_Sha_Step_6.wav,Sa,Sha,Sha,1.074548e+00
46,Sa_Sha_Step_6.wav,Sa,Sha,Sha,8.395488e-01
47,Sa_Sha_Step_4.wav,Sa,Sha,Sha,5.491331e-01
48,Sa_Sha_Step_7.wav,Sa,Sha,Sha,5.517740e-01
49,Sa_Sha_Step_4.wav,Sa,Sha,Sha,2.839601e+00
50,Sa_Sha_Step_6.wav,Sa,Sha,Sha,6.317251e-01
51,Sa_Sha_Step_1.wav,Sa,Sha,Sha,6.138210e-01
52,Sa_Sha_Step_1.wav,Sa,Sha,Sha,1.699184e+00
53,Sa_Sha_Step_1.wav,Sa,Sha,Sha,1.837287e+00
54,Sa_Sha_Step_4.wav,Sa,Sha,Sha,1.284045e+00
55,Sa_Sha_Step_7.wav,Sa,Sha,Sa,5.601101e-01
56,Sa_Sha_Step_3.wav,Sa,Sha,Sha,5.434420e-01
57,Sa_Sha_Step_2.wav,Sa,Sha,Sha,6.949742e-01
58,Sa_Sha_Step_5.wav,Sa,Sha,Sa,1.363027e+00
59,Sa_Sha_Step_6.wav,Sa,Sha,Sha,8.938458e-01
60,Sa_Sha_Step_1.wav,Sa,Sha,Sha,1.769090e+00
61,Sa_Sha_Step_3.wav,Sa,Sha,Sha,6.173551e-01
62,Sa_Sha_Step_6.wav,Sa,Sha,Sa,2.390564e+00
63,Sa_Sha_Step_5.wav,Sa,Sha,Sa,5.679152e-01
64,Sa_Sha_Step_5.wav,Sa,Sha,Sa,6.402700e-01
65,Sa_Sha_Step_6.wav,Sa,Sha,Sha,1.394929e+00
66,Sa_Sha_Step_7.wav,Sa,Sha,Sa,1.243025e+00
67,Sa_Sha_Step_2.wav,Sa,Sha,Sa,8.575270e-01
68,Sa_Sha_Step_1.wav,Sa,Sha,Sha,1.663408e+00
69,Sa_Sha_Step_6.wav,Sa,Sha,Sa,1.972428e+00
70,Sa_Sha_Step_7.wav,Sa,Sha,Sa,6.353910e-01
