2017-9-11,16:22:31
trial,stimulus,sound1,sound2,selection,RT
1,Sa_Sha_Step_4.wav,Sha,Sa,Sa,1.132725e+00
2,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.516410e-01
3,Sa_Sha_Step_4.wav,Sha,Sa,Sha,6.310928e-01
4,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.576031e-01
5,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.930800e-01
6,Sa_Sha_Step_3.wav,Sha,Sa,Sha,6.377151e-01
7,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.881438e-01
8,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.331949e-01
9,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.749009e-01
10,Sa_Sha_Step_4.wav,Sha,Sa,Sha,6.550519e-01
11,Sa_Sha_Step_5.wav,Sha,Sa,Sa,5.344851e-01
12,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.682631e-01
13,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.686631e-01
14,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.767422e-01
15,Sa_Sha_Step_2.wav,Sha,Sa,Sha,1.280886e+00
16,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.374331e-01
17,Sa_Sha_Step_7.wav,Sha,Sa,Sa,7.951269e-01
18,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.463848e-01
19,Sa_Sha_Step_1.wav,Sha,Sa,Sha,4.019730e-01
20,Sa_Sha_Step_7.wav,Sha,Sa,Sa,6.199520e-01
21,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.054328e-01
22,Sa_Sha_Step_3.wav,Sha,Sa,Sha,1.147597e+00
23,Sa_Sha_Step_3.wav,Sha,Sa,Sha,8.152480e-01
24,Sa_Sha_Step_4.wav,Sha,Sa,Sa,6.038110e-01
25,Sa_Sha_Step_2.wav,Sha,Sa,Sha,4.651902e-01
26,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.778940e-01
27,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.425282e-01
28,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.579591e-01
29,Sa_Sha_Step_4.wav,Sha,Sa,Sha,6.821768e-01
30,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.419240e-01
31,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.734599e-01
32,Sa_Sha_Step_5.wav,Sha,Sa,Sa,4.856882e-01
33,Sa_Sha_Step_2.wav,Sha,Sa,Sha,6.551559e-01
34,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.741851e-01
35,Sa_Sha_Step_5.wav,Sha,Sa,Sa,5.503440e-01
36,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.258050e-01
37,Sa_Sha_Step_1.wav,Sha,Sa,Sha,7.724719e-01
38,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.595770e-01
39,Sa_Sha_Step_6.wav,Sha,Sa,Sa,6.672020e-01
40,Sa_Sha_Step_4.wav,Sha,Sa,Sa,5.505538e-01
41,Sa_Sha_Step_3.wav,Sha,Sa,Sha,5.259042e-01
42,Sa_Sha_Step_4.wav,Sha,Sa,Sa,4.927111e-01
43,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.900018e-01
44,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.991521e-01
45,Sa_Sha_Step_4.wav,Sha,Sa,Sha,1.020543e+00
46,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.600240e-01
47,Sa_Sha_Step_3.wav,Sha,Sa,Sha,8.843229e-01
48,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.583351e-01
49,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.863800e-01
50,Sa_Sha_Step_2.wav,Sha,Sa,Sha,6.387110e-01
51,Sa_Sha_Step_6.wav,Sha,Sa,Sa,5.649872e-01
52,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.643430e-01
53,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.686459e-01
54,Sa_Sha_Step_1.wav,Sha,Sa,Sha,1.079953e+00
55,Sa_Sha_Step_2.wav,Sha,Sa,Sha,5.970910e-01
56,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.300161e-01
57,Sa_Sha_Step_6.wav,Sha,Sa,Sa,7.001450e-01
58,Sa_Sha_Step_5.wav,Sha,Sa,Sa,7.169509e-01
59,Sa_Sha_Step_6.wav,Sha,Sa,Sa,8.059020e-01
60,Sa_Sha_Step_1.wav,Sha,Sa,Sha,5.820601e-01
61,Sa_Sha_Step_4.wav,Sha,Sa,Sa,5.146499e-01
62,Sa_Sha_Step_6.wav,Sha,Sa,Sa,6.689968e-01
63,Sa_Sha_Step_3.wav,Sha,Sa,Sha,6.126230e-01
64,Sa_Sha_Step_7.wav,Sha,Sa,Sa,9.505761e-01
65,Sa_Sha_Step_5.wav,Sha,Sa,Sa,6.878881e-01
66,Sa_Sha_Step_7.wav,Sha,Sa,Sa,5.717809e-01
67,Sa_Sha_Step_5.wav,Sha,Sa,Sa,4.999759e-01
68,Sa_Sha_Step_4.wav,Sha,Sa,Sha,5.698299e-01
69,Sa_Sha_Step_1.wav,Sha,Sa,Sha,6.266971e-01
70,Sa_Sha_Step_6.wav,Sha,Sa,Sa,6.601369e-01
