2017-8-23,12:58:10
trial,stimulus,sound1,sound2,selection,RT
1,Ba_Da_Step_2.wav,NA,NA,Ba,1.318989e+00
2,Ba_Da_Step_5.wav,NA,NA,Da,3.521888e-01
3,Ba_Da_Step_6.wav,NA,NA,Da,3.528149e-01
4,Ba_Da_Step_7.wav,NA,NA,Da,3.054271e-01
5,Ba_Da_Step_5.wav,NA,NA,Da,2.883861e-01
6,Ba_Da_Step_1.wav,NA,NA,Ba,2.990680e-01
7,Ba_Da_Step_1.wav,NA,NA,Ba,3.700390e-01
8,Ba_Da_Step_2.wav,NA,NA,Ba,2.753761e-01
9,Ba_Da_Step_3.wav,NA,NA,Ba,2.976160e-01
10,Ba_Da_Step_5.wav,NA,NA,Da,3.130050e-01
11,Ba_Da_Step_3.wav,NA,NA,Ba,2.760379e-01
12,Ba_Da_Step_3.wav,NA,NA,Ba,3.465211e-01
13,Ba_Da_Step_1.wav,NA,NA,Ba,2.750959e-01
14,Ba_Da_Step_7.wav,NA,NA,Da,2.809942e-01
15,Ba_Da_Step_4.wav,NA,NA,Ba,1.367181e+00
16,Ba_Da_Step_7.wav,NA,NA,Da,3.301971e-01
17,Ba_Da_Step_4.wav,NA,NA,Ba,1.903200e-01
18,Ba_Da_Step_2.wav,NA,NA,Ba,3.695171e-01
19,Ba_Da_Step_5.wav,NA,NA,Da,2.267761e-01
20,Ba_Da_Step_7.wav,NA,NA,Da,1.191671e+00
21,Ba_Da_Step_3.wav,NA,NA,Ba,5.284841e-01
22,Ba_Da_Step_7.wav,NA,NA,Da,1.711688e-01
23,Ba_Da_Step_3.wav,NA,NA,Ba,2.975559e-01
24,Ba_Da_Step_6.wav,NA,NA,Da,1.044180e-01
25,Ba_Da_Step_5.wav,NA,NA,Da,4.529271e-01
26,Ba_Da_Step_2.wav,NA,NA,Ba,2.689729e-01
27,Ba_Da_Step_4.wav,NA,NA,Ba,1.071489e-01
28,Ba_Da_Step_1.wav,NA,NA,Ba,7.001672e-01
29,Ba_Da_Step_7.wav,NA,NA,Da,3.005900e-01
30,Ba_Da_Step_6.wav,NA,NA,Da,6.198342e-01
31,Ba_Da_Step_4.wav,NA,NA,Ba,3.452129e-01
32,Ba_Da_Step_2.wav,NA,NA,Ba,1.289989e+00
33,Ba_Da_Step_6.wav,NA,NA,Da,2.822361e-01
34,Ba_Da_Step_5.wav,NA,NA,Da,5.253139e-01
35,Ba_Da_Step_1.wav,NA,NA,Ba,1.443742e+00
36,Ba_Da_Step_3.wav,NA,NA,Ba,1.153244e+00
37,Ba_Da_Step_2.wav,NA,NA,Ba,1.408468e+00
38,Ba_Da_Step_2.wav,NA,NA,Ba,3.409450e-01
39,Ba_Da_Step_3.wav,NA,NA,Ba,2.293499e-01
40,Ba_Da_Step_1.wav,NA,NA,Ba,2.582681e-01
41,Ba_Da_Step_4.wav,NA,NA,Ba,1.558630e-01
42,Ba_Da_Step_5.wav,NA,NA,Ba,3.378081e-01
43,Ba_Da_Step_6.wav,NA,NA,Da,1.579590e-01
44,Ba_Da_Step_4.wav,NA,NA,Ba,2.964761e-01
45,Ba_Da_Step_4.wav,NA,NA,Ba,3.511891e-01
46,Ba_Da_Step_5.wav,NA,NA,Da,2.641020e-01
47,Ba_Da_Step_1.wav,NA,NA,Ba,3.057940e-01
48,Ba_Da_Step_6.wav,NA,NA,Da,1.170371e-01
49,Ba_Da_Step_4.wav,NA,NA,Ba,3.978610e-01
50,Ba_Da_Step_2.wav,NA,NA,Ba,3.644931e-01
51,Ba_Da_Step_7.wav,NA,NA,Da,3.897128e-01
52,Ba_Da_Step_2.wav,NA,NA,Ba,5.597389e-01
53,Ba_Da_Step_6.wav,NA,NA,Da,2.636011e-01
54,Ba_Da_Step_7.wav,NA,NA,Da,4.893930e-01
55,Ba_Da_Step_6.wav,NA,NA,Da,4.349060e-01
56,Ba_Da_Step_5.wav,NA,NA,Da,4.067552e-01
57,Ba_Da_Step_7.wav,NA,NA,Da,9.410291e-01
58,Ba_Da_Step_7.wav,NA,NA,Da,4.339709e-01
59,Ba_Da_Step_5.wav,NA,NA,Da,7.018740e-01
60,Ba_Da_Step_4.wav,NA,NA,Ba,1.182659e-01
61,Ba_Da_Step_1.wav,NA,NA,Ba,4.949949e-01
62,Ba_Da_Step_6.wav,NA,NA,Da,2.007020e-01
63,Ba_Da_Step_6.wav,NA,NA,Da,9.281461e-01
64,Ba_Da_Step_4.wav,NA,NA,Da,6.601880e-01
65,Ba_Da_Step_2.wav,NA,NA,Ba,4.119499e-01
66,Ba_Da_Step_1.wav,NA,NA,Ba,9.182150e-01
67,Ba_Da_Step_3.wav,NA,NA,Ba,6.378272e-01
68,Ba_Da_Step_3.wav,NA,NA,Ba,6.121719e-01
69,Ba_Da_Step_1.wav,NA,NA,Ba,1.057802e+00
70,Ba_Da_Step_3.wav,NA,NA,Ba,6.264970e-01
